XA-SA75,268.59000000000003
XA-SA76,354.9
XA-SA77,355.31
XA-SA78,357.84
XA-SA79,358.35
XA-SA80,357.39
XA-SA81,359.06
XA-SA82,359.32
XB-CM01,356.22
XB-CM02,355.52
XB-CM03,358.15
XB-CM04,359.64
XB-CM05,358.0
XB-CM06,358.53
XB-CM07,357.77
XB-CM08,176.37
XB-CM09,353.54
XB-CM10,355.17
XB-CM11,357.68
XB-CM12,358.68
XB-CM13,356.48
XB-CM14,355.26
XB-CM15,351.83
XB-CM16,359.33
XB-CM17,357.33
XB-CM18,355.62
XB-CM19,359.13
XB-CM20,354.35
XB-CM21,357.97
XB-CM22,359.2
XB-CM23,358.36
XB-CM24,358.53
XB-CM25,357.4
XB-CM26,358.1
XB-CM27,357.47
XB-CM28,359.79
XB-CM29,358.06
XB-CM30,356.44
XB-CM31,357.61
XB-CM32,356.42
XB-PM01,351.4
XB-PM02,356.28
XB-PM03,346.22
XB-PM04,358.33
XB-PM05,359.94
XB-PM06,342.53
XB-PM07,356.95
XB-PM08,359.29
XB-PM09,336.56
XB-PM10,338.03
XB-PM11,341.72
XB-PM12,340.35
XB-PM13,338.3
XB-PM14,338.61
XB-PM15,339.1
XB-PM16,354.15
XB-PM17,335.45
XB-PM18,340.97
XB-PM19,338.98
XB-PM20,339.91
XB-PM21,353.95
XB-PM22,357.96
XB-PM22B,346.55
XB-PM23,358.41
XB-PM24,359.66
XB-PM25,2.66
XB-PM26,1.88
XB-PM27,4.62
XB-PM28,2.28
XB-PM29,358.69
XB-PM30,6.74
XB-PM30A,2.61
XB-PM31,342.58
XB-PM31A,351.24
XB-PM32,2.11
XB-PM33,3.13
XB-PM33A,8.26
XB-PM34,355.94
XB-PM35,359.49
XB-PM36,357.54
XB-PM37,358.56
XB-PM38,354.71
XB-PM39,1.69
XB-PM40,0.27
XB-PS01,3.33
XB-PS02,3.24
XB-PS03,5.7
XB-PS04,5.85
XB-PS05,7.58
XB-PS06,7.69
XB-PS07,188.76
XB-PS08,3.99
XB-PS09,358.6
XB-PS10,2.34
XB-PS11,2.99
XB-PS12,4.32
XB-PS13,2.94
XB-PS14,5.21
XB-PS15,359.94
XB-PS16,5.0
XB-PS17,1.58
XB-PS18,4.8
XB-PS19,1.83
XB-PS21,1.97
XB-PS22,6.1
XB-PS23,2.16
XB-PS24,182.37
XB-PS26,359.4
XB-PS30,5.57
XB-PS33,1.01
XB-PS34,1.07
XB-PS35,4.44
XB-PS37,3.97
XB-PS39,0.0
XB-PS40,359.87
XB-PS41,356.96
XB-PS42,183.65
XB-PS44,1.59
XB-PS45,6.58
XB-PS46,3.64
XB-PS47,2.96
XB-PS48,5.31
XB-PS49,2.78
XB-PS51,3.94
XB-PS52,359.8
XB-PS53,358.6
XB-PS56,358.33
XB-PS57,2.96
XB-PS58,358.06
XB-PS59,2.36
XB-PS60,355.63
XB-PS61,4.0
XD-AMBA,358.23
XD-BASO,355.67
XD-GOMA,359.47
XD-HALE,355.67
XD-INZA,358.67
XD-KIBA,357.22
XD-KIBE,356.98
XD-KOMO,355.34
XD-KOND,354.41
XD-LONG,354.69
XD-MBWE,353.87
XD-MITU,352.04
XD-MTAN,2.47
XD-MTOR,353.6
XD-PAND,357.73
XD-PUGE,354.2
XD-RUNG,356.06
XD-SING,354.42
XD-TARA,352.02
XD-TUND,356.38
XD-URAM,357.65
XG-AGIN,9.98
XG-AHLT,3.06
XG-BNGL,10.79
XG-BTLS,0.03
XG-BYKN,2.29
XG-CMCY,5.49
XG-DGSU,2.22
XG-DYBR,3.88
XG-ERGN,10.36
XG-HAMR,4.26
XG-HINS,9.98
XG-HRPT,4.25
XG-HRSN,8.38
XG-ILIC,9.43
XG-IMRL,11.51
XG-KRLV,15.63
XG-KTLN,4.99
XG-KYPR,5.68
XG-MRDN,8.56
XG-MUSH,5.13
XG-SILN,4.45
XG-UZML,11.33
XH-AKH,17.05
XH-AYD,13.67
XH-BOZ,20.57
XH-DEU,25.81
XH-KUL,1.44
