net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
XJ,LL66,-2.612,35.484,YB,AT49,38.514,32.253,5753,4565.486
XJ,KEN1,-1.941,36.693,YB,AT29,39.179,33.378,5566,4565.638
II,RAYN,23.522,45.503,XV,MOCU,-16.86,36.83,3267,4565.695
XJ,LL66,-2.612,35.484,YB,AT14,38.628,36.06,5753,4566.413
ZP,BKBA,-1.364,31.812,IU,ANTO,39.868,32.793,1265,4566.791
IU,KMBO,-1.127,37.252,XS,S013,37.806,22.593,5093,4566.841
II,MBAR,-0.602,30.738,XG,DGSU,39.131,42.73,1936,4566.926
IU,TSUM,-19.202,17.584,XW,MOKA,13.314,43.256,2167,4567.156
XJ,LN16,-2.621,36.465,YB,AT14,38.628,36.06,5731,4567.215
IU,KMBO,-1.127,37.252,XS,S018,38.015,23.224,4510,4567.375
XA,SA14,-29.868,24.023,IU,FURI,8.895,38.68,3982,4567.443
IU,KMBO,-1.127,37.252,XS,S017,37.954,23.012,5093,4568.02
XZ,S01,17.027,54.113,IU,LSZ,-15.278,28.188,3916,4568.607
II,ASCN,-7.933,-14.36,XA,SA17,-28.932,23.226,4378,4568.731
XZ,S02,17.126,53.996,IU,LSZ,-15.278,28.188,3905,4569.026
II,MBAR,-0.602,30.738,XS,N002,39.54,20.358,4213,4569.214
II,SUR,-32.38,20.812,AF,NSU,6.867,7.417,6897,4569.852
II,SUR,-32.38,20.812,NJ,NSU,6.867,7.417,1023,4569.852
IU,KMBO,-1.127,37.252,XS,S012,37.786,22.434,4895,4570.222
XJ,LN16,-2.621,36.465,YB,AT04,38.628,38.138,5764,4570.262
II,MBAR,-0.602,30.738,XS,N003,39.577,20.425,4213,4571.59
ZV,NEMA,-7.52,31.044,IU,KOWA,14.497,-4.014,3025,4572.985
YR,AYNO,17.256,53.894,IU,LSZ,-15.278,28.188,3707,4573.17
II,MBAR,-0.602,30.738,XS,N004,39.612,20.486,4213,4573.905
AF,NBI,-1.274,36.804,IU,ANTO,39.868,32.793,1958,4574.047
IU,NAI,-1.274,36.804,IU,ANTO,39.868,32.793,1661,4574.047
GE,NAI,-1.274,36.804,IU,ANTO,39.868,32.793,1012,4574.047
XJ,LL66,-2.612,35.484,YB,AT04,38.628,38.138,5753,4574.173
II,RAYN,23.522,45.503,XV,TETE,-16.13,33.57,4719,4574.53
II,MBAR,-0.602,30.738,XS,N005,39.639,20.569,979,4574.869
XJ,LN16,-2.621,36.465,YB,AT49,38.514,32.253,5709,4574.928
II,ASCN,-7.933,-14.36,XB,PM27,32.35,-4.654,13530,4575.53
XJ,KEN1,-1.941,36.693,YB,AT02,39.381,37.057,5566,4575.579
II,RAYN,23.522,45.503,AF,TETE,-16.147,33.577,2101,4576.115
IU,KMBO,-1.127,37.252,XS,S027,38.237,23.666,5137,4576.251
XG,HRSN,39.945,42.287,IU,KMBO,-1.127,37.252,3751,4576.856
II,ASCN,-7.933,-14.36,XA,SA82,-30.977,22.247,4422,4576.979
IU,KMBO,-1.127,37.252,XS,S030,38.395,24.145,4499,4577.964
II,MBAR,-0.602,30.738,XS,N006,39.678,20.612,4202,4578.052
II,ASCN,-7.933,-14.36,XA,SA30,-27.072,24.165,3740,4578.477
II,MSEY,-4.674,55.479,AF,WIN,-22.567,17.1,26455,4578.533
IU,KMBO,-1.127,37.252,XS,S022,38.174,23.37,5082,4579.091
II,MBAR,-0.602,30.738,XS,N007,39.708,20.668,4213,4579.981
II,MBAR,-0.602,30.738,XS,N008,39.732,20.751,4213,4580.667
II,MSEY,-4.674,55.479,8A,MARI,-24.598,17.931,2134,4580.818
XJ,KEN1,-1.941,36.693,YB,AT20,39.364,34.157,5566,4580.893
II,ASCN,-7.933,-14.36,NR,NE218,-20.563,26.218,13167,4580.911
II,MSEY,-4.674,55.479,XA,SA11,-29.965,20.947,1243,4581.365
II,MBAR,-0.602,30.738,XS,N211,39.849,21.223,1496,4582.812
IU,KMBO,-1.127,37.252,XS,S015,37.972,22.618,5093,4583.002
II,MBAR,-0.602,30.738,XS,N111,39.852,21.226,2255,4583.07
XJ,LL66,-2.612,35.484,YB,AT30,38.764,34.004,5753,4583.649
II,MBAR,-0.602,30.738,XS,N009,39.788,20.878,4202,4583.817
II,MBAR,-0.602,30.738,XS,N017,39.949,21.677,2607,4584.054
II,SACV,14.97,-23.609,MN,AIO,37.971,15.233,3531,4584.95
II,MSEY,-4.674,55.479,MN,KEG,29.928,31.829,7161,4585.372
XG,CMCY,39.92,43.197,IU,KMBO,-1.127,37.252,1639,4585.421
XZ,S03,17.25,54.084,IU,LSZ,-15.278,28.188,3663,4585.562
II,MSEY,-4.674,55.479,6A,WP18,-19.175,15.884,5445,4585.925
YR,SHIO,17.189,54.166,IU,LSZ,-15.278,28.188,2079,4585.971
XZ,S05,17.354,53.968,IU,LSZ,-15.278,28.188,2563,4586.542
XJ,LN16,-2.621,36.465,YB,AT08,38.804,36.927,5731,4586.808
XJ,KEN1,-1.941,36.693,YB,AT12,39.452,34.745,4246,4587.637
XJ,LL66,-2.612,35.484,YB,AT08,38.804,36.927,5753,4587.962
II,MSEY,-4.674,55.479,XB,CM03,3.519,15.034,2453,4588.556
IU,KMBO,-1.127,37.252,XS,S031,38.426,23.899,4785,4588.662
XJ,LN16,-2.621,36.465,YB,AT30,38.764,34.004,5665,4589.092
II,MBAR,-0.602,30.738,XS,N013,39.946,21.404,3905,4589.394
II,MBAR,-0.602,30.738,XS,N010,39.865,20.968,2651,4590.081
YB,AT30,38.764,34.004,IU,KOWA,14.497,-4.014,2651,4590.341
II,ASCN,-7.933,-14.36,XA,SA62,-24.85,25.135,1815,4591.511
II,SUR,-32.38,20.812,XB,CM28,8.469,13.237,2376,4591.594
NR,NE204,-18.54,21.338,IU,KOWA,14.497,-4.014,6303,4591.86
XJ,KEN1,-1.941,36.693,HL,ITM,37.179,21.925,5544,4592.036
II,ASCN,-7.933,-14.36,BX,MAKGR,-25.812,24.801,7337,4592.053
II,ASCN,-7.933,-14.36,NR,NE221,-25.812,24.801,2816,4592.053
AF,HVD,-30.605,25.497,IU,FURI,8.895,38.68,17677,4592.321
II,MBAR,-0.602,30.738,XS,N012,39.947,21.246,4191,4592.852
YR,TQHO,17.063,54.43,IU,LSZ,-15.278,28.188,3520,4593.416
XJ,LN16,-2.621,36.465,KO,GURO,38.551,42.032,6017,4594.284
XB,CM04,2.979,11.959,IU,ANTO,39.868,32.793,2365,4594.55
YB,AT70,37.934,34.543,IU,KOWA,14.497,-4.014,2640,4595.011
IU,KMBO,-1.127,37.252,XS,S026,38.391,23.559,3861,4595.563
II,MBAR,-0.602,30.738,MN,CLTB,37.578,13.216,26235,4595.581
ES,EOSO,28.072,-15.553,IU,ANTO,39.868,32.793,25905,4595.762
AF,PKA,-29.67,22.757,IU,FURI,8.895,38.68,13211,4595.786
IU,KMBO,-1.127,37.252,XS,S024,38.362,23.447,3861,4596.086
II,MBAR,-0.602,30.738,XS,N011,39.938,21.05,2563,4596.118
