net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
XJ,LL66,-2.612,35.484,XJ,LL21,-2.063,35.551,4642,61.162
XJ,MW42,-3.04,36.101,XJ,LN16,-2.621,36.465,3828,61.519
XJ,LL66,-2.612,35.484,XJ,NG55,-3.142,35.687,6600,62.801
XJ,KEN1,-1.941,36.693,XJ,LN14,-2.439,36.415,5302,63.156
XJ,LL66,-2.612,35.484,XJ,LN34,-2.751,36.048,6688,64.572
XJ,LN26,-2.61,35.878,XJ,LN16,-2.621,36.465,6952,65.288
XJ,LN25,-2.501,35.886,XJ,LN16,-2.621,36.465,6941,65.743
XJ,KEN1,-1.941,36.693,XJ,KEN3,-2.093,36.119,5192,66.033
XJ,MW41,-3.23,36.445,XJ,LN16,-2.621,36.465,6512,67.378
XJ,MW36,-3.016,35.998,XJ,LN16,-2.621,36.465,6963,67.851
XJ,KEN3,-2.093,36.119,XJ,LN16,-2.621,36.465,5005,69.927
II,SUR,-32.38,20.812,XA,SA07,-31.978,20.226,5852,71.003
XJ,LL66,-2.612,35.484,XJ,PR31,-2.919,36.048,6677,71.31
II,SUR,-32.38,20.812,XA,SA05,-32.605,21.535,3168,72.387
XJ,LL66,-2.612,35.484,XJ,MW36,-3.016,35.998,6688,72.538
XJ,KEN1,-1.941,36.693,XJ,KEN4,-1.784,36.054,5445,73.185
Y6,JIMA,8.306,38.998,IU,FURI,8.895,38.68,1606,73.952
XJ,PR53,-2.854,35.835,XJ,LN16,-2.621,36.465,6677,74.639
IU,FURI,8.895,38.68,XI,NAZA,8.568,39.291,2266,76.343
XJ,LL66,-2.612,35.484,XJ,PR33,-2.839,36.14,6281,77.141
Y6,JIRE,8.24,38.933,IU,FURI,8.895,38.68,2475,77.612
XJ,LL66,-2.612,35.484,XJ,LN15,-2.628,36.185,6655,77.974
XJ,KEN1,-1.941,36.693,XJ,LN16,-2.621,36.465,5027,79.353
YJ,AMME,8.303,39.093,IU,FURI,8.895,38.68,4400,79.71
XJ,KEN2,-1.918,36.287,XJ,LN16,-2.621,36.465,4565,80.217
YJ,AREE,8.938,39.419,IU,FURI,8.895,38.68,4906,81.416
XJ,LL66,-2.612,35.484,XJ,PR32,-2.875,36.181,4004,82.778
YJ,MEKE,8.162,38.833,IU,FURI,8.895,38.68,4906,82.8
XJ,LL24,-2.266,35.807,XJ,LN16,-2.621,36.465,6941,83.045
XJ,LL66,-2.612,35.484,XJ,MW43,-3.205,35.946,3432,83.294
XJ,LL66,-2.612,35.484,XJ,MW42,-3.04,36.101,3828,83.342
XJ,LL66,-2.612,35.484,XJ,MW44,-3.344,35.664,6512,83.379
YJ,WOLE,8.534,37.982,IU,FURI,8.895,38.68,1529,86.567
XJ,MW43,-3.205,35.946,XJ,LN16,-2.621,36.465,4279,86.6
IU,KMBO,-1.127,37.252,XI,KITU,-1.373,38.002,1529,87.79
Y6,GEBI,8.219,39.106,IU,FURI,8.895,38.68,1254,88.256
Y6,TULL,8.181,39.058,IU,FURI,8.895,38.68,6457,89.262
Y6,ODAS,8.123,38.965,IU,FURI,8.895,38.68,6237,90.966
XJ,LL66,-2.612,35.484,XJ,KEN3,-2.093,36.119,5192,91.005
IU,FURI,8.895,38.68,XI,BUTA,8.117,38.382,1584,92.089
YJ,BUTE,8.117,38.382,IU,FURI,8.895,38.68,1551,92.089
Y6,CHKA,8.257,39.221,IU,FURI,8.895,38.68,2464,92.335
XJ,PR52,-2.959,35.702,XJ,LN16,-2.621,36.465,6864,92.705
XJ,LL23,-2.297,35.69,XJ,LN16,-2.621,36.465,6941,93.343
XJ,LL66,-2.612,35.484,XJ,PR11,-2.823,36.299,6644,93.579
Y6,ULAR,8.143,39.078,IU,FURI,8.895,38.68,6468,94.007
XJ,KEN1,-1.941,36.693,XJ,LN15,-2.628,36.185,5566,94.677
YJ,KOTE,9.388,39.396,IU,FURI,8.895,38.68,4455,95.743
Y6,ANOL,8.182,39.181,IU,FURI,8.895,38.68,5599,96.232
XJ,LL22,-2.52,35.599,XJ,LN16,-2.621,36.465,5148,96.952
YJ,BORE,8.746,39.554,IU,FURI,8.895,38.68,4818,97.552
IU,FURI,8.895,38.68,XI,FICH,9.782,38.737,3344,98.305
Y6,HURT,8.121,39.128,IU,FURI,8.895,38.68,1991,98.797
XJ,LL66,-2.612,35.484,XJ,LN45,-2.993,36.292,6347,99.227
IU,FURI,8.895,38.68,XI,GUDE,8.966,37.765,2662,100.937
Y6,OGOL,8.04,39.014,IU,FURI,8.895,38.68,5896,101.462
XJ,LL66,-2.612,35.484,XJ,PR12,-2.825,36.383,1672,102.701
XJ,KEN4,-1.784,36.054,XJ,LN16,-2.621,36.465,4906,103.228
XJ,NG55,-3.142,35.687,XJ,LN16,-2.621,36.465,6171,103.927
Y6,ITTE,8.126,39.226,IU,FURI,8.895,38.68,6391,104.151
YJ,DONE,8.509,39.55,IU,FURI,8.895,38.68,4884,104.827
XJ,KEN1,-1.941,36.693,XJ,LL24,-2.266,35.807,5566,104.91
XJ,LL66,-2.612,35.484,XJ,LN14,-2.439,36.415,6402,105.291
XJ,PR64,-2.801,35.533,XJ,LN16,-2.621,36.465,2948,105.528
XJ,KEN1,-1.941,36.693,XJ,PR11,-2.823,36.299,5566,106.921
XJ,LN35,-2.63,36.006,XJ,KEN1,-1.941,36.693,5566,107.906
XJ,LN25,-2.501,35.886,XJ,KEN1,-1.941,36.693,5566,109.053
XJ,LL66,-2.612,35.484,XJ,LN16,-2.621,36.465,6105,109.096
II,MBAR,-0.602,30.738,ZP,KATE,-0.138,29.871,2508,109.302
XJ,KEN1,-1.941,36.693,IU,KMBO,-1.127,37.252,5247,109.412
II,MBAR,-0.602,30.738,ZP,KBLE,-1.254,29.992,1584,109.964
Y6,GOND,8.042,39.195,IU,FURI,8.895,38.68,6402,110.072
XJ,LL66,-2.612,35.484,XJ,KEN4,-1.784,36.054,5456,111.368
IU,FURI,8.895,38.68,XI,SELA,7.973,39.132,3168,113.471
YJ,ASEE,7.973,39.132,IU,FURI,8.895,38.68,1375,113.471
XJ,LL66,-2.612,35.484,XJ,PR13,-2.843,36.479,869,113.549
Y6,BESH,7.896,38.928,IU,FURI,8.895,38.68,6435,113.813
XJ,PR63,-2.993,35.507,XJ,LN16,-2.621,36.465,6963,114.184
XJ,LN34,-2.751,36.048,XJ,KEN1,-1.941,36.693,5566,114.756
II,MBAR,-0.602,30.738,ZP,SAKA,-0.315,31.737,2156,115.644
Y6,GULA,7.845,38.726,IU,FURI,8.895,38.68,6446,116.238
XJ,PR33,-2.839,36.14,XJ,KEN1,-1.941,36.693,5170,116.803
XJ,LL65,-2.418,35.434,XJ,LN16,-2.621,36.465,6897,116.837
Y6,ASSE,7.937,39.129,IU,FURI,8.895,38.68,5478,116.923
XJ,LN26,-2.61,35.878,XJ,KEN1,-1.941,36.693,5566,117.006
XJ,LL66,-2.612,35.484,XJ,KEN2,-1.918,36.287,5104,117.758
XJ,KEN1,-1.941,36.693,XJ,LN46,-3.007,36.677,4972,117.888
XJ,PR32,-2.875,36.181,XJ,KEN1,-1.941,36.693,2992,117.937
XJ,LL23,-2.297,35.69,XJ,KEN1,-1.941,36.693,5566,118.318
XJ,LL21,-2.063,35.551,XJ,LN16,-2.621,36.465,4884,118.92
IU,FURI,8.895,38.68,XI,WELK,8.295,37.782,1045,119.058
XJ,MW44,-3.344,35.664,XJ,LN16,-2.621,36.465,6787,119.67
Y6,GALU,7.801,38.767,IU,FURI,8.895,38.68,1584,121.373
YJ,INEE,9.895,39.143,IU,FURI,8.895,38.68,4334,121.735
Y6,POWR,7.788,38.794,IU,FURI,8.895,38.68,5643,123.074
II,SUR,-32.38,20.812,XA,SA04,-32.85,19.621,3476,123.337
XJ,NG54,-2.732,35.36,XJ,LN16,-2.621,36.465,6941,123.486
YJ,NURE,8.731,39.796,IU,FURI,8.895,38.68,4895,124.108
XJ,LN45,-2.993,36.292,XJ,KEN1,-1.941,36.693,5269,124.582
Y6,ADEP,7.773,38.884,IU,FURI,8.895,38.68,2431,126.109
IU,FURI,8.895,38.68,XI,BDAR,9.672,39.525,2607,126.51
IU,FURI,8.895,38.68,XI,BIRH,9.672,39.525,693,126.51
XJ,LL66,-2.612,35.484,XJ,MW41,-3.23,36.445,6270,126.825
XJ,PR62,-2.983,35.374,XJ,LN16,-2.621,36.465,6963,127.739
XJ,KEN1,-1.941,36.693,XJ,LL21,-2.063,35.551,3520,127.764
YJ,GTFE,9.003,39.838,IU,FURI,8.895,38.68,4829,127.908
Y6,HABU,7.737,38.726,IU,FURI,8.895,38.68,6446,128.172
XJ,NG56,-3.096,35.409,XJ,LN16,-2.621,36.465,6963,128.621
XJ,KEN1,-1.941,36.693,XJ,PR31,-2.919,36.048,5566,129.773
II,SUR,-32.38,20.812,XA,SA08,-31.91,22.073,6358,129.882
Y6,OHIT,7.716,38.758,IU,FURI,8.895,38.68,3652,130.677
YJ,DIKE,8.063,39.557,IU,FURI,8.895,38.68,4829,133.388
Y6,SAGU,7.76,39.161,IU,FURI,8.895,38.68,6413,136.252
XJ,KEN1,-1.941,36.693,XJ,LL22,-2.52,35.599,5566,137.506
XJ,MW42,-3.04,36.101,XJ,KEN1,-1.941,36.693,3740,138.212
XJ,KEN2,-1.918,36.287,IU,KMBO,-1.127,37.252,4785,138.498
XJ,KEN1,-1.941,36.693,XJ,PR53,-2.854,35.835,5566,138.92
YJ,ANKE,9.593,39.734,IU,FURI,8.895,38.68,4917,139.188
AF,ANKE,9.583,39.742,IU,FURI,8.895,38.68,15521,139.315
XJ,LL66,-2.612,35.484,XJ,LN46,-3.007,36.677,6050,139.651
XJ,PR61,-2.959,35.248,XJ,LN16,-2.621,36.465,6963,140.383
II,SUR,-32.38,20.812,AF,CVNA,-31.482,19.762,16764,140.619
XJ,KEN1,-1.941,36.693,XJ,MW36,-3.016,35.998,5566,141.79
XJ,MW41,-3.23,36.445,XJ,KEN1,-1.941,36.693,5170,145.177
II,MBAR,-0.602,30.738,ZP,BKBA,-1.364,31.812,3025,146.249
II,MBAR,-0.602,30.738,ZP,FOPO,0.663,30.282,2948,148.802
XJ,KEN1,-1.941,36.693,XJ,LL65,-2.418,35.434,5566,149.653
II,MBAR,-0.602,30.738,ZP,BEND,0.581,31.392,2068,149.704
II,SUR,-32.38,20.812,XA,SA03,-33.662,21.335,2519,150.342
XJ,KEN4,-1.784,36.054,IU,KMBO,-1.127,37.252,5126,151.826
1C,ANR,-0.182,36.245,IU,KMBO,-1.127,37.252,3520,153.242
XJ,LL66,-2.612,35.484,XJ,KEN1,-1.941,36.693,5566,153.589
XJ,LN16,-2.621,36.465,AF,NBI,-1.274,36.804,1067,153.646
IU,KMBO,-1.127,37.252,XI,NARO,-1.073,35.865,1199,154.487
1C,GSSH,-0.159,36.24,IU,KMBO,-1.127,37.252,3487,155.39
1C,LWHS,-0.222,36.177,IU,KMBO,-1.127,37.252,5049,155.988
XJ,KEN1,-1.941,36.693,XJ,PR52,-2.959,35.702,5566,157.54
XC,WATN,-20.612,17.335,IU,TSUM,-19.202,17.584,6380,158.254
II,SUR,-32.38,20.812,XA,SA02,-33.735,20.266,2321,158.692
IU,KMBO,-1.127,37.252,XI,ANGA,-2.5,36.8,693,159.933
XJ,KEN1,-1.941,36.693,XJ,PR64,-2.801,35.533,1177,160.279
1C,VWP,-0.259,36.093,IU,KMBO,-1.127,37.252,4235,160.795
XJ,MW43,-3.205,35.946,XJ,KEN1,-1.941,36.693,2354,162.592
Y6,BEKO,7.542,39.259,IU,FURI,8.895,38.68,5885,162.669
1C,BHT,-0.144,36.157,IU,KMBO,-1.127,37.252,5786,163.312
IU,FURI,8.895,38.68,XI,WASH,8.99,40.166,3256,163.761
YJ,AWAE,8.99,40.166,IU,FURI,8.895,38.68,2860,163.761
ZF,AWSE,8.99,40.17,IU,FURI,8.895,38.68,5302,164.2
YA,KV04,-1.457,29.526,II,MBAR,-0.602,30.738,4136,164.727
XJ,KEN3,-2.093,36.119,IU,KMBO,-1.127,37.252,4961,165.24
1C,BLS,-0.114,36.16,IU,KMBO,-1.127,37.252,4114,165.293
1C,MCN1,-0.194,36.083,IU,KMBO,-1.127,37.252,4081,166.057
1C,KIMU,-0.266,36.025,IU,KMBO,-1.127,37.252,2222,166.485
II,SUR,-32.38,20.812,XA,SA81,-30.925,21.268,4873,167.028
II,MBAR,-0.602,30.738,ZP,MLBA,-1.838,31.67,2915,171.574
1C,RGO,-0.156,36.049,IU,KMBO,-1.127,37.252,5192,171.636
XJ,KEN1,-1.941,36.693,XJ,NG54,-2.732,35.36,5566,172.142
XJ,LN14,-2.439,36.415,IU,KMBO,-1.127,37.252,6831,172.393
IU,FURI,8.895,38.68,XI,HOSA,7.564,37.857,3245,172.891
YJ,MELE,9.311,40.201,IU,FURI,8.895,38.68,4576,173.413
XJ,KEN1,-1.941,36.693,XJ,NG55,-3.142,35.687,5489,173.645
1C,TOR1,-0.178,36.007,IU,KMBO,-1.127,37.252,3399,173.829
1C,NDG,-0.106,36.059,IU,KMBO,-1.127,37.252,4213,174.299
1C,SLS,-0.01,36.128,IU,KMBO,-1.127,37.252,4862,175.809
XJ,PR63,-2.993,35.507,XJ,KEN1,-1.941,36.693,5566,175.869
1C,MNP,-0.218,35.947,IU,KMBO,-1.127,37.252,4631,176.645
Y6,KADO,7.295,38.655,IU,FURI,8.895,38.68,6468,176.976
YA,KV08,-1.593,29.45,II,MBAR,-0.602,30.738,3993,180.437
YJ,SHEE,10.0,39.895,IU,FURI,8.895,38.68,2893,180.943
1C,DIGR,-0.096,35.985,IU,KMBO,-1.127,37.252,1210,181.346
YJ,ADEE,7.791,39.907,IU,FURI,8.895,38.68,4334,182.138
Y6,TATA,7.26,38.444,IU,FURI,8.895,38.68,2574,182.686
YJ,MECE,8.594,40.324,IU,FURI,8.895,38.68,4675,183.933
Y6,AJEE,7.26,38.303,IU,FURI,8.895,38.68,2662,185.538
YA,KV07,-1.558,29.365,II,MBAR,-0.602,30.738,3773,185.812
XJ,PR62,-2.983,35.374,XJ,KEN1,-1.941,36.693,5566,186.534
XJ,LN16,-2.621,36.465,IU,KMBO,-1.127,37.252,6754,186.97
Y6,SHAS,7.205,38.603,IU,FURI,8.895,38.68,4026,187.1
Y6,CORB,7.223,38.385,IU,FURI,8.895,38.68,6479,187.754
IU,FURI,8.895,38.68,XI,DMRK,10.308,37.729,5313,187.942
ZP,MAUS,-2.741,36.704,IU,KMBO,-1.127,37.252,7348,188.595
Y6,BRRR,7.199,38.476,IU,FURI,8.895,38.68,6457,188.914
YA,KV06,-1.678,29.411,II,MBAR,-0.602,30.738,1023,189.653
Y6,BETI,7.194,38.412,IU,FURI,8.895,38.68,6479,190.429
XJ,NG56,-3.096,35.409,XJ,KEN1,-1.941,36.693,5566,191.577
Y6,URJI,7.187,38.379,IU,FURI,8.895,38.68,1210,191.79
XJ,KEN1,-1.941,36.693,XJ,MW44,-3.344,35.664,5390,192.772
Y6,SANK,7.198,38.271,IU,FURI,8.895,38.68,2365,193.02
Y6,SPEC,7.152,38.501,IU,FURI,8.895,38.68,6479,193.776
Y6,GRIM,7.161,38.395,IU,FURI,8.895,38.68,6215,194.33
Y6,CHEF,7.149,38.432,IU,FURI,8.895,38.68,6479,195.026
XJ,PR61,-2.959,35.248,XJ,KEN1,-1.941,36.693,5566,196.21
Y6,MILA,7.13,38.434,IU,FURI,8.895,38.68,4136,197.076
1C,VWP,-0.259,36.093,XJ,KEN1,-1.941,36.693,935,197.611
1C,LWHS,-0.222,36.177,XJ,KEN1,-1.941,36.693,1958,198.564
II,MBAR,-0.602,30.738,ZP,PIGI,0.231,32.319,2904,198.64
Y6,WOND,7.098,38.631,IU,FURI,8.895,38.68,6501,198.814
1C,ANR,-0.182,36.245,XJ,KEN1,-1.941,36.693,1078,200.79
YA,KV05,-1.674,29.264,II,MBAR,-0.602,30.738,3465,202.394
1C,GSSH,-0.159,36.24,XJ,KEN1,-1.941,36.693,1441,203.392
II,MBAR,-0.602,30.738,AF,BOBN,-1.66,29.237,6974,203.946
XJ,LN15,-2.628,36.185,IU,KMBO,-1.127,37.252,7084,204.058
XJ,LL24,-2.266,35.807,IU,KMBO,-1.127,37.252,7073,204.239
Y6,HAWA,7.052,38.502,IU,FURI,8.895,38.68,6490,204.77
II,SUR,-32.38,20.812,XA,SA82,-30.977,22.247,6842,206.672
II,MBAR,-0.602,30.738,AF,TEBE,0.054,32.483,11891,207.351
1C,BHT,-0.144,36.157,XJ,KEN1,-1.941,36.693,1716,207.465
1C,MNP,-0.218,35.947,XJ,KEN1,-1.941,36.693,1430,207.825
XJ,PR13,-2.843,36.479,IU,KMBO,-1.127,37.252,803,208.325
Y6,DORE,7.031,38.362,IU,FURI,8.895,38.68,2299,209.11
1C,RGO,-0.156,36.049,XJ,KEN1,-1.941,36.693,803,209.987
1C,BLS,-0.114,36.16,XJ,KEN1,-1.941,36.693,1969,210.55
XJ,PR12,-2.825,36.383,IU,KMBO,-1.127,37.252,2409,211.185
YA,KV03,-1.903,29.347,II,MBAR,-0.602,30.738,4136,211.329
IU,KMBO,-1.127,37.252,XI,KR42,0.038,35.726,1364,213.185
Y6,FINH,6.967,38.462,IU,FURI,8.895,38.68,2343,214.579
1C,NDG,-0.106,36.059,XJ,KEN1,-1.941,36.693,1089,214.824
XJ,LN25,-2.501,35.886,IU,KMBO,-1.127,37.252,7073,214.899
XJ,PR11,-2.823,36.299,IU,KMBO,-1.127,37.252,7084,215.431
XJ,LL21,-2.063,35.551,IU,KMBO,-1.127,37.252,5093,215.728
XJ,LN35,-2.63,36.006,IU,KMBO,-1.127,37.252,7084,216.421
XJ,LL23,-2.297,35.69,IU,KMBO,-1.127,37.252,7073,216.666
IU,FURI,8.895,38.68,XI,HERO,7.026,39.277,1870,216.929
XJ,LN46,-3.007,36.677,IU,KMBO,-1.127,37.252,6446,217.501
IU,FURI,8.895,38.68,XI,KARA,10.422,39.935,2310,217.936
YJ,KARE,10.422,39.935,IU,FURI,8.895,38.68,1430,217.936
ZF,KORE,10.426,39.934,IU,FURI,8.895,38.68,5247,218.209
IU,FURI,8.895,38.68,XI,BELA,6.929,38.47,3179,218.66
1C,SLS,-0.01,36.128,XJ,KEN1,-1.941,36.693,1826,222.587
YY,MERT,10.876,38.266,IU,FURI,8.895,38.68,4070,223.768
XJ,LN34,-2.751,36.048,IU,KMBO,-1.127,37.252,7095,224.029
XJ,LN26,-2.61,35.878,IU,KMBO,-1.127,37.252,7084,224.186
YA,KV01,-2.078,29.351,II,MBAR,-0.602,30.738,3278,224.638
XC,OUTN,-20.151,15.689,IU,TSUM,-19.202,17.584,3509,224.766
ZP,MKUS,-13.604,29.379,IU,LSZ,-15.278,28.188,1342,225.378
IU,KMBO,-1.127,37.252,XI,BARI,0.466,35.981,1155,225.929
XJ,PR33,-2.839,36.14,IU,KMBO,-1.127,37.252,6677,226.143
ZF,AKEE,10.888,39.168,IU,FURI,8.895,38.68,7975,226.844
XJ,PR32,-2.875,36.181,IU,KMBO,-1.127,37.252,4510,227.058
YJ,BEDE,8.909,40.771,IU,FURI,8.895,38.68,4664,229.989
YY,KIRE,9.957,36.869,IU,FURI,8.895,38.68,7656,230.988
YJ,MIEE,9.242,40.758,IU,FURI,8.895,38.68,4653,231.65
ZF,MISE,9.237,40.759,IU,FURI,8.895,38.68,7744,231.669
XJ,LN45,-2.993,36.292,IU,KMBO,-1.127,37.252,6171,232.333
II,MBAR,-0.602,30.738,ZP,BIHA,-2.638,31.316,1430,234.137
YY,NEKE,9.089,36.524,IU,FURI,8.895,38.68,7513,238.043
IU,FURI,8.895,38.68,XI,NEKE,9.089,36.524,3245,238.043
AF,TEZI,-15.747,26.016,IU,LSZ,-15.278,28.188,16082,238.741
XJ,PR31,-2.919,36.048,IU,KMBO,-1.127,37.252,7095,239.174
XJ,LL22,-2.52,35.599,IU,KMBO,-1.127,37.252,5357,239.896
Y6,YIRG,6.744,38.39,IU,FURI,8.895,38.68,4158,240.03
ZF,GEWE,10.004,40.574,IU,FURI,8.895,38.68,6039,241.468
YJ,GEWE,10.006,40.574,IU,FURI,8.895,38.68,4103,241.58
1C,NAK,0.77,36.165,IU,KMBO,-1.127,37.252,3124,242.156
IU,FURI,8.895,38.68,XI,JIMA,7.684,36.831,4719,243.778
XJ,MW42,-3.04,36.101,IU,KMBO,-1.127,37.252,3751,247.264
XJ,LL65,-2.418,35.434,IU,KMBO,-1.127,37.252,7062,247.578
XJ,PR53,-2.854,35.835,IU,KMBO,-1.127,37.252,6820,247.624
XJ,MW41,-3.23,36.445,IU,KMBO,-1.127,37.252,6666,249.265
1C,KTG,0.902,36.257,IU,KMBO,-1.127,37.252,2145,250.205
XJ,LL66,-2.612,35.484,AF,GETA,-2.866,33.241,2508,250.983
XJ,MW36,-3.016,35.998,IU,KMBO,-1.127,37.252,7106,251.176
IU,FURI,8.895,38.68,XI,GOBA,7.027,39.982,3839,251.566
IU,FURI,8.895,38.68,XI,TERC,7.145,37.175,3113,254.916
XJ,LL66,-2.612,35.484,IU,KMBO,-1.127,37.252,6259,256.233
II,SUR,-32.38,20.812,XA,SA01,-34.294,19.246,4884,257.514
IU,FURI,8.895,38.68,XI,WANE,10.169,40.649,3245,258.047
1C,MOND,0.896,36.086,IU,KMBO,-1.127,37.252,3102,258.619
1C,AKWI,1.037,36.31,IU,KMBO,-1.127,37.252,3487,261.249
II,SUR,-32.38,20.812,XA,SA09,-30.922,22.986,3047,262.008
IU,FURI,8.895,38.68,XI,DELE,8.439,36.326,3245,263.936
XB,PM01,35.702,-5.654,PM,PVAQ,37.404,-7.717,10186,264.155
1C,NAUD,1.027,36.22,IU,KMBO,-1.127,37.252,4213,264.433
1C,VWP,-0.259,36.093,XJ,LN16,-2.621,36.465,2244,264.439
XJ,PR52,-2.959,35.702,IU,KMBO,-1.127,37.252,7007,266.023
XJ,PR64,-2.801,35.533,IU,KMBO,-1.127,37.252,2860,266.15
1C,LWHS,-0.222,36.177,XJ,LN16,-2.621,36.465,2673,267.199
AF,DESE,11.118,39.635,IU,FURI,8.895,38.68,17644,267.243
ZF,DERE,11.118,39.635,IU,FURI,8.895,38.68,6798,267.243
II,SUR,-32.38,20.812,XA,SA11,-29.965,20.947,3465,268.066
1C,VWP,-0.259,36.093,XJ,LL66,-2.612,35.484,1441,268.864
IU,FURI,8.895,38.68,XI,HIRN,9.222,41.106,2420,269.155
1C,MNP,-0.218,35.947,XJ,LL66,-2.612,35.484,1947,269.684
1C,NATN,1.041,36.123,IU,KMBO,-1.127,37.252,4301,270.669
1C,ANR,-0.182,36.245,XJ,LN16,-2.621,36.465,1716,270.802
1C,MCN1,-0.194,36.083,XJ,LN16,-2.621,36.465,1419,271.712
XJ,MW43,-3.205,35.946,IU,KMBO,-1.127,37.252,4147,271.848
1C,MNP,-0.218,35.947,XJ,LN16,-2.621,36.465,2750,271.892
AF,KTWE,-12.814,28.209,IU,LSZ,-15.278,28.188,14388,272.626
1C,NASO,1.172,36.359,IU,KMBO,-1.127,37.252,2387,272.954
XB,PM03,35.51,-5.771,PM,PVAQ,37.404,-7.717,10164,273.118
1C,GSSH,-0.159,36.24,XJ,LN16,-2.621,36.465,2079,273.385
1C,TOR1,-0.178,36.007,XJ,LN16,-2.621,36.465,1474,274.901
1C,LWHS,-0.222,36.177,XJ,LL66,-2.612,35.484,2079,275.296
XJ,NG54,-2.732,35.36,IU,KMBO,-1.127,37.252,7095,275.324
1C,TOR1,-0.178,36.007,XJ,LL66,-2.612,35.484,671,275.36
1C,MCN1,-0.194,36.083,XJ,LL66,-2.612,35.484,660,275.554
II,MBAR,-0.602,30.738,ZP,BUTI,1.819,31.326,2156,275.585
1C,SIL,1.149,36.238,IU,KMBO,-1.127,37.252,2552,275.819
1C,BHT,-0.144,36.157,XJ,LN16,-2.621,36.465,3080,276.031
1C,RGO,-0.156,36.049,XJ,LN16,-2.621,36.465,1474,276.471
1C,RGO,-0.156,36.049,XJ,LL66,-2.612,35.484,924,278.755
1C,BLS,-0.114,36.16,XJ,LN16,-2.621,36.465,3289,279.282
YY,HARO,9.847,36.31,IU,FURI,8.895,38.68,7645,280.814
1C,ANR,-0.182,36.245,XJ,LL66,-2.612,35.484,1199,281.726
1C,NDG,-0.106,36.059,XJ,LN16,-2.621,36.465,1793,281.742
XJ,NG55,-3.142,35.687,IU,KMBO,-1.127,37.252,6314,282.755
1C,BHT,-0.144,36.157,XJ,LL66,-2.612,35.484,2277,282.989
XJ,PR63,-2.993,35.507,IU,KMBO,-1.127,37.252,7095,283.295
1C,GSSH,-0.159,36.24,XJ,LL66,-2.612,35.484,1562,283.987
1C,NDG,-0.106,36.059,XJ,LL66,-2.612,35.484,1210,284.393
1C,KAPD,1.185,36.105,IU,KMBO,-1.127,37.252,3278,285.757
1C,BLS,-0.114,36.16,XJ,LL66,-2.612,35.484,2486,286.277
XB,PM02,35.61,-5.347,PM,PVAQ,37.404,-7.717,9251,291.026
1C,SLS,-0.01,36.128,XJ,LN16,-2.621,36.465,2530,291.137
6A,WP06,-20.214,15.013,IU,TSUM,-19.202,17.584,660,291.888
XJ,PR62,-2.983,35.374,IU,KMBO,-1.127,37.252,7095,292.856
IU,KMBO,-1.127,37.252,ZS,ESIL,-3.446,35.975,1342,293.134
ZF,BTIE,11.195,40.022,IU,FURI,8.895,38.68,8041,293.868
IU,FURI,8.895,38.68,2H,BTIE,11.195,40.022,1441,293.868
II,MBAR,-0.602,30.738,ZP,JNJA,0.446,33.182,2662,295.712
1C,SLS,-0.01,36.128,XJ,LL66,-2.612,35.484,1947,296.507
YY,GINR,7.13,40.715,IU,FURI,8.895,38.68,5500,297.367
IU,KMBO,-1.127,37.252,ZS,MANY,-3.396,35.812,1089,297.662
XB,PM06,35.309,-5.639,PM,PVAQ,37.404,-7.717,10164,298.026
XJ,NG56,-3.096,35.409,IU,KMBO,-1.127,37.252,7095,299.056
II,MBAR,-0.602,30.738,ZP,GEIT,-2.881,32.217,1738,300.97
XJ,PR61,-2.959,35.248,IU,KMBO,-1.127,37.252,7095,301.224
XJ,MW44,-3.344,35.664,IU,KMBO,-1.127,37.252,6919,302.152
IU,KMBO,-1.127,37.252,ZS,MALJ,-3.191,35.471,660,302.218
YY,DLMN,6.424,39.856,IU,FURI,8.895,38.68,6666,302.512
1C,NAK,0.77,36.165,XJ,KEN1,-1.941,36.693,1298,305.474
ZF,WUCE,11.512,39.606,IU,FURI,8.895,38.68,4587,306.728
IU,FURI,8.895,38.68,XI,CHEF,6.161,38.21,1804,306.779
ZF,GASE,11.681,38.921,IU,FURI,8.895,38.68,4741,309.288
ZF,QATE,9.375,41.469,IU,FURI,8.895,38.68,5775,311.12
II,SUR,-32.38,20.812,XA,SA12,-29.849,22.253,6798,312.463
IU,KMBO,-1.127,37.252,ZS,MGWE,-3.91,37.789,891,313.475
ZP,SERJ,-13.228,30.215,IU,LSZ,-15.278,28.188,3938,315.099
XB,PM04,35.403,-5.152,PM,PVAQ,37.404,-7.717,11770,319.728
ZF,ELLE,11.258,40.378,IU,FURI,8.895,38.68,4972,320.858
1C,MOND,0.896,36.086,XJ,KEN1,-1.941,36.693,1298,320.893
XB,PM05,35.213,-5.337,PM,PVAQ,37.404,-7.717,11759,323.7
ZP,KMPZ,-13.457,25.834,IU,LSZ,-15.278,28.188,3212,324.12
6A,WP01,-21.352,15.44,IU,TSUM,-19.202,17.584,660,326.814
YY,BAHI,11.56,37.384,IU,FURI,8.895,38.68,7491,327.185
IU,FURI,8.895,38.68,XI,BAHI,11.574,37.393,3333,328.154
YY,CHGE,10.961,36.518,IU,FURI,8.895,38.68,7513,329.28
II,MBAR,-0.602,30.738,ZP,KIBO,-3.583,30.713,3003,329.639
