Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
2H,SEME,11.7926,41.0043,1,290,1,1
2H,TRUE,12.4812,40.3148,1,336,1,1
3D,MM01,31.543,-7.677,1,453,2,1
3D,MM02,31.232,-7.422,1,450,2,1
3D,MM03,30.878,-6.9,1,420,2,1
3D,MM04,30.737,-6.63,1,449,2,1
3D,MM05,30.68,-6.39,1,450,2,1
3D,MM06,30.508,-6.066,1,451,2,1
3D,MM07,30.258,-5.608,1,453,2,1
3D,MM08,31.026,-6.492,1,451,2,1
3D,MM09,30.586,-7.201,1,452,2,1
3D,MM10,30.53,-7.928,1,454,2,1
3D,MM11,30.646,-8.596,1,453,2,1
3D,MM12,30.405,-8.827,1,451,2,1
3D,MM13,30.539,-9.584,1,453,2,1
3D,MM14,30.042,-9.169,1,452,2,1
3D,MM15,31.199,-8.897,1,453,2,1
6A,WP01,-21.352,15.44,1,406,0,1
6A,WP02,-21.305,14.475,1,404,0,1
6A,WP03,-21.022,14.682,1,353,0,1
6A,WP04,-21.23,14.901,1,327,0,1
6A,WP05,-20.54388,14.46245,1,405,0,1
6A,WP06,-20.214,15.013,1,355,0,1
6A,WP07,-20.364,13.52,1,405,0,1
6A,WP08,-19.875,12.977,1,405,0,1
6A,WP09,-19.109,12.591,1,402,0,1
6A,WP10,-18.752,12.369,1,392,0,1
6A,WP11,-18.078,13.885,1,347,0,1
6A,WP12,-17.865,13.028,1,390,0,1
6A,WP13,-18.16,12.558,1,401,0,1
6A,WP14,-17.217,12.428,1,403,0,1
6A,WP15,-17.004,13.244,1,347,0,1
6A,WP16,-17.334,13.838,1,398,0,1
6A,WP17,-18.777,12.933,1,318,0,1
6A,WP18,-19.175,15.884,1,406,0,1
6A,WP19,-19.044,14.479,1,324,0,1
6A,WP20,-18.687,14.946,1,405,0,1
6A,WP21,-19.622,14.848,1,405,0,1
6A,WP22,-19.885,13.949,1,336,0,1
6A,WP23,-19.124,13.614,1,325,0,1
6A,WP24,-19.33,13.157,1,335,0,1
6A,WP25,-18.563,13.677,1,279,0,1
6A,WP26,-18.229,13.274,1,324,0,1
6A,WP27,-17.434,13.274,1,275,0,1
6A,WP28,-17.808,12.33,1,330,0,1
