Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
XB,PS49,36.9033,-3.1827,0,278,1,1
XB,PS51,36.973,-4.8873,0,280,1,1
XB,PS52,37.0036,-4.2263,0,297,1,1
XB,PS53,37.057,-3.9636,0,278,1,1
XB,PS56,37.1101,-3.4368,0,228,1,1
XB,PS57,37.0115,-2.9864,0,278,1,1
XB,PS58,37.2636,-3.9969,0,278,1,1
XB,PS59,37.3241,-3.7995,0,196,1,1
XB,PS60,37.3267,-3.4519,0,228,1,1
XB,PS61,37.2887,-3.0686,0,228,1,1
XC,BRAN,-21.359,14.749,1,101,0,1
XC,CAPN,-21.759,13.968,0,86,0,1
XC,LEON,-23.435,18.743,1,95,0,1
XC,OUTN,-20.151,15.689,1,102,0,1
XC,WATN,-20.612,17.335,1,106,0,1
XD,AMBA,-8.106,33.2588,1,40,1,1
XD,BASO,-4.3238,35.1382,1,41,1,1
XD,GOMA,-4.8392,29.6927,1,50,1,1
XD,HALE,-5.3018,38.617,1,42,1,1
XD,INZA,-5.1168,30.3988,1,47,1,1
XD,KIBA,-5.3223,36.5695,1,49,1,1
XD,KIBE,-5.3775,37.4763,1,49,1,1
XD,KOMO,-3.8422,36.7192,1,50,1,1
XD,KOND,-4.904,35.7965,1,48,1,1
XD,LONG,-2.7252,36.6983,1,50,1,1
XD,MBWE,-4.961,34.3462,1,46,1,1
XD,MITU,-6.0192,34.056,1,49,1,1
XD,MTAN,-7.9073,33.3203,1,42,1,1
XD,MTOR,-5.2508,35.4007,1,48,1,1
XD,PAND,-8.9835,33.2415,1,49,1,1
XD,PUGE,-4.7145,33.1842,1,47,1,1
XD,RUNG,-6.9372,33.518,1,49,1,1
XD,SING,-4.6403,34.7315,1,48,1,1
XD,TARA,-3.8892,36.0163,1,50,1,1
XD,TUND,-9.2958,32.7712,1,48,1,1
XD,URAM,-5.0878,32.0832,1,47,1,1
XG,AGIN,38.9391,38.713,0,49,1,1
XG,AHLT,38.7481,42.477,0,46,1,1
XG,BNGL,38.9195,40.5966,0,49,1,1
XG,BTLS,38.4311,42.1238,0,47,1,1
XG,BYKN,38.1665,41.7823,0,45,1,1
XG,CMCY,39.9205,43.1968,0,24,1,1
XG,DGSU,39.1311,42.7297,0,23,1,0
XG,DYBR,37.823,40.3186,0,46,1,1
XG,ERGN,38.2587,39.7287,0,49,1,1
XG,HAMR,39.6136,42.9927,0,48,1,1
XG,HINS,39.3489,41.6972,0,49,1,1
XG,HRPT,38.7043,39.2453,0,47,1,1
XG,HRSN,39.9453,42.2874,0,49,1,1
XG,ILIC,39.4531,38.5686,0,45,1,1
XG,IMRL,39.8787,38.1183,0,25,1,1
XG,KRLV,39.3746,40.9881,0,49,1,1
XG,KTLN,37.9533,41.7052,0,46,1,1
XG,KYPR,37.5589,41.1692,0,44,1,1
XG,MRDN,37.2897,40.7,0,49,1,1
XG,MUSH,38.7571,41.4831,0,26,1,1
XG,SILN,38.1352,41.041,0,46,1,1
XG,UZML,39.7134,39.7156,0,49,1,1
XH,AKH,38.9149,27.8081,0,34,1,1
XH,AYD,37.8407,27.8374,0,37,1,1
XH,BOZ,38.3002,28.0495,0,16,1,1
XH,DEU,38.371,27.2078,0,17,1,1
XH,KUL,38.5401,28.6339,0,16,1,1
XI,AAUS,9.035,38.767,1,94,1,1
XI,AFIF,23.931,43.04,0,14,1,1
XI,ANGA,-2.5,36.8,1,70,1,1
XI,ARBA,6.0672,37.5564,1,128,1,1
XI,BAHI,11.5743,37.3934,1,122,1,1
XI,BARI,0.4662,35.9806,1,88,1,1
XI,BDAR,9.6721,39.5254,1,109,1,1
XI,BELA,6.9286,38.4702,1,122,1,1
XI,BIRH,9.6723,39.5253,1,64,1,1
XI,BOKO,-2.255681,37.729881,1,48,0,1
XI,BUTA,8.1171,38.3824,1,91,1,1
XI,CHEF,6.1613,38.2101,1,112,1,1
XI,DELE,8.4393,36.3259,1,121,1,1
XI,DIYA,11.8343,39.5956,1,98,1,1
XI,DMRK,10.308,37.729,1,100,1,1
XI,FICH,9.7822,38.7372,1,120,1,1
XI,GOBA,7.027,39.982,1,115,1,1
XI,GUDE,8.9665,37.7652,1,118,1,1
XI,HALM,22.8454,44.3173,0,14,1,1
XI,HERO,7.0263,39.2769,1,103,1,1
XI,HIRN,9.2224,41.1059,1,93,1,1
XI,HOSA,7.564,37.8573,1,121,1,1
XI,JIMA,7.684,36.831,1,115,1,1
XI,KAKA,0.5587,34.7963,1,89,1,1
XI,KARA,10.4224,39.9348,1,96,1,1
XI,KIBO,-2.255696,37.729885,1,0,0,0
XI,KITU,-1.373,38.0021,1,92,1,1
XI,KR42,0.037997,35.726284,1,86,0,1
XI,NARO,-1.0733,35.8654,1,75,1,1
XI,NAZA,8.568,39.2907,1,101,1,1
XI,NDEI,-2.692823,38.168716,1,0,0,0
XI,NEKE,9.089,36.5235,1,122,1,1
XI,RANI,21.3116,42.7761,0,14,1,1
XI,RAYN,23.522,45.5008,0,13,1,1
XI,RIYD,24.722,46.643,0,14,1,1
XI,SELA,7.9729,39.1317,1,115,1,1
XI,SODA,18.2921,42.3769,0,14,1,1
XI,TAIF,21.281,40.349,0,7,1,1
XI,TALE,0.9792,34.976,1,86,1,1
XI,TEND,11.7925,41.0043,1,133,1,1
XI,TERC,7.1446,37.1747,1,120,1,1
XI,UQSK,25.789,42.36,0,14,1,1
XI,WANE,10.1694,40.6491,1,121,1,1
XI,WASH,8.9895,40.1659,1,118,1,1
XI,WELK,8.2946,37.7818,1,83,1,1
XJ,KEN1,-1.9412,36.6927,1,330,1,1
XJ,KEN2,-1.9184,36.2873,1,326,1,1
XJ,KEN3,-2.0932,36.1186,1,321,1,1
XJ,KEN4,-1.784,36.0536,1,328,1,1
XJ,LL21,-2.0627,35.551,1,393,1,1
XJ,LL22,-2.5195,35.5989,1,326,1,1
XJ,LL23,-2.2969,35.69,1,393,1,1
XJ,LL24,-2.2662,35.8072,1,391,1,1
XJ,LL65,-2.418,35.434,1,394,1,1
XJ,LL66,-2.6123,35.4842,1,385,1,1
XJ,LN14,-2.4394,36.4154,1,391,1,1
XJ,LN15,-2.6279,36.1846,1,385,1,1
XJ,LN16,-2.6207,36.4648,1,389,1,1
XJ,LN25,-2.5006,35.8864,1,384,1,1
XJ,LN26,-2.6104,35.8785,1,383,1,1
XJ,LN34,-2.751,36.0485,1,381,1,1
XJ,LN35,-2.6304,36.0059,1,381,1,1
XJ,LN45,-2.9927,36.2921,1,384,1,1
XJ,LN46,-3.007,36.6767,1,395,1,1
XJ,MW36,-3.0158,35.9981,1,382,1,1
XJ,MW41,-3.2305,36.4448,1,390,1,1
XJ,MW42,-3.04,36.1011,1,277,1,1
XJ,MW43,-3.2046,35.9459,1,312,1,1
XJ,MW44,-3.3437,35.6638,1,394,1,1
XJ,NG54,-2.7316,35.3595,1,391,1,1
XJ,NG55,-3.1418,35.687,1,387,1,1
XJ,NG56,-3.096,35.4086,1,393,1,1
XJ,PR11,-2.8231,36.2991,1,384,1,1
XJ,PR12,-2.8253,36.3833,1,280,1,1
XJ,PR13,-2.8426,36.4792,1,184,1,1
XJ,PR31,-2.919,36.0476,1,383,1,1
XJ,PR32,-2.8754,36.1813,1,374,1,1
XJ,PR33,-2.8391,36.1395,1,382,1,1
XJ,PR52,-2.9593,35.7024,1,382,1,1
XJ,PR53,-2.8538,35.8354,1,379,1,1
XJ,PR61,-2.9586,35.2478,1,395,1,1
XJ,PR62,-2.9834,35.3736,1,392,1,1
XJ,PR63,-2.9933,35.5067,1,389,1,1
XJ,PR64,-2.8014,35.5331,1,295,1,1
XK,B01KR,-22.2377,26.7184,1,468,1,1
XK,B02LT,-21.3928,25.5811,1,470,1,1
XK,B03SL,-21.1207,24.7635,1,471,1,1
XK,B04KH,-20.4742,24.5139,1,473,1,1
XK,B05MO,-20.2184,24.132,1,475,1,1
XK,B06OR,-19.9011,23.5269,1,476,1,1
XK,B07DX,-20.549,22.7494,1,472,1,1
XK,B08TS,-20.1645,22.4588,1,469,1,1
XK,B09NK,-19.6626,22.1937,1,475,1,1
XK,B10PP,-18.9132,22.5427,1,472,1,1
XK,B11ET,-19.0159,22.3165,1,471,1,1
XK,B12SS,-18.7462,22.1965,1,471,1,1
XK,B13NX,-18.5794,21.9944,1,472,1,1
XK,B14MH,-18.295,21.7918,1,473,1,1
XK,B15MW,-19.6305,23.8268,1,471,1,1
XK,B1665,-22.8246,27.2286,1,469,1,1
XK,B17CI,-19.2938,22.9094,1,475,1,1
XK,Q01MP,-13.4078,34.87,1,460,1,1
XK,Q02GG,-13.2923,35.0304,1,461,1,1
XK,Q03LC,-13.3088,35.2425,1,461,1,1
XK,Q04NM,-13.3309,35.6584,1,461,1,1
XK,Q05MJ,-13.3953,36.1257,1,290,1,1
XK,Q05ML,-13.4671,36.1397,1,285,1,1
XK,Q06MQ,-13.3496,36.7453,1,463,1,1
XK,Q07MR,-13.1967,37.4986,1,462,1,1
XK,W01PD,-13.7073,33.0061,1,439,1,1
XK,W02NB,-13.724,33.5599,1,439,1,1
XK,W03BL,-13.6788,33.8245,1,440,1,1
XK,W04VR,-13.7212,34.1205,1,438,1,1
XK,W05SA,0.0,0.0,0,0,1,0
XK,W05SL,-13.7627,34.3834,1,439,1,1
XK,W06SB,-13.7421,34.5959,1,430,1,1
XK,W07CR,-10.6838,34.1931,1,442,1,1
XK,W08KB,-11.61,34.2964,1,444,1,1
XK,W09TK,-12.1085,34.0464,1,443,1,1
XK,W10LW,-12.6208,34.1652,1,443,1,1
XK,W11KP,-13.2166,34.3113,1,438,1,1
XK,W12MB,-14.0852,34.9112,1,447,1,1
XK,W13CC,-14.548,35.1806,1,447,1,1
XK,W14MC,-15.0626,35.2259,1,448,1,1
XK,W15SS,-15.6818,34.9747,1,446,1,1
XK,Z01TG,-12.296,29.9948,1,455,1,1
XK,Z02PP,-12.6965,30.1358,1,455,1,1
XK,Z03CK,-12.939,30.4424,1,454,1,1
XK,Z04NN,-13.075,30.6276,1,454,1,1
XK,Z05CS,-13.1667,30.8784,1,454,1,1
XK,Z06GL,-13.3502,31.5149,1,281,1,1
XK,Z06LW,-13.3218,31.0287,1,337,1,1
XK,Z07FW,-13.1206,31.7754,1,449,1,1
XK,Z08MF,-13.2546,31.9314,1,448,1,1
XK,Z09CG,-13.3058,32.221,1,448,1,1
XK,Z10KW,-13.4991,32.3828,1,444,1,1
XK,Z11CP,-13.5636,32.5889,1,448,1,1
XS,N001,39.4692,20.3119,0,114,1,1
XS,N002,39.5405,20.3584,0,114,1,1
XS,N003,39.577,20.4251,0,114,1,1
XS,N004,39.6125,20.4861,0,114,1,1
XS,N005,39.6386,20.5694,0,86,1,1
XS,N006,39.6778,20.6118,0,114,1,1
XS,N007,39.708,20.6675,0,115,1,1
XS,N008,39.7319,20.7507,0,115,1,1
XS,N009,39.7883,20.8775,0,115,1,1
XS,N010,39.8647,20.9678,0,98,1,1
XS,N011,39.9379,21.0496,0,113,1,1
XS,N012,39.9466,21.2458,0,115,1,1
XS,N013,39.9462,21.4035,0,114,1,1
XS,N017,39.9486,21.6771,0,105,1,1
XS,N026,39.7281,22.6698,0,99,1,1
XS,N027,39.4883,22.9574,0,115,1,1
XS,N111,39.8519,21.2265,0,97,1,1
XS,N211,39.849,21.2232,0,79,1,1
XS,S001,37.283,21.718,0,89,1,1
XS,S002,37.306,21.782,0,89,1,1
XS,S003,37.321,21.808,0,89,1,1
XS,S004,37.361,21.864,0,76,1,1
XS,S005,37.4,21.919,0,89,1,1
XS,S006,37.442,22.004,0,89,1,1
XS,S007,37.454,22.055,0,89,1,1
XS,S008,37.495,22.142,0,90,1,1
XS,S009,37.548,22.212,0,90,1,1
XS,S010,37.629,22.295,0,90,1,1
XS,S011,37.606,22.47,0,90,1,1
XS,S012,37.786,22.434,0,87,1,1
XS,S013,37.806,22.593,0,90,1,1
XS,S014,37.783,22.868,0,92,1,1
XS,S015,37.972,22.618,0,92,1,1
XS,S016,37.805,23.064,0,90,1,1
XS,S017,37.954,23.012,0,92,1,1
XS,S018,38.015,23.224,0,79,1,1
XS,S019,38.259,23.065,0,92,1,1
XS,S020,38.318,22.91,0,92,1,1
XS,S021,38.361,23.089,0,92,1,1
XS,S022,38.174,23.37,0,91,1,1
XS,S023,38.105,23.592,0,91,1,1
XS,S024,38.362,23.447,0,76,1,1
XS,S025,38.566,23.213,0,92,1,1
XS,S026,38.391,23.559,0,76,1,1
XS,S027,38.237,23.666,0,92,1,1
XS,S028,38.047,23.864,0,91,1,1
XS,S029,38.075,24.366,0,75,1,1
XS,S030,38.395,24.145,0,97,1,1
XS,S031,38.426,23.899,0,95,1,1
XS,S032,38.591,23.758,0,97,1,1
XS,S033,38.723,23.491,0,97,1,1
XS,S034,38.881,23.05,0,97,1,1
XS,S035,38.661,24.108,0,96,1,1
XS,S036,38.047,23.864,0,75,1,1
XS,S037,38.921,24.53,0,86,1,1
XS,S038,37.836,24.948,0,102,1,1
XS,S039,37.457,24.949,0,59,1,1
XS,S040,37.722,24.009,0,92,1,1
XS,S041,38.047,23.864,0,45,1,1
XS,S042,38.047,23.864,0,45,1,1
XS,S104,37.366,21.859,0,41,1,1
XS,S126,38.46,23.497,0,47,1,1
XS,S129,38.089,24.362,0,50,1,1
XV,AMPY,-24.7033,44.7436,0,234,1,1
XV,ANLA,-17.7062,49.4599,0,257,1,1
XV,ANTS,-14.8843,47.9993,0,257,1,1
XV,BAEL,-14.5397,48.7467,0,233,1,1
XV,BAND,-20.3428,45.5964,0,240,1,1
XV,BANJ,-13.6426,48.4537,0,224,1,1
XV,BARY,-17.1845,46.8571,0,234,1,1
XV,BATG,-18.8786,46.1871,0,230,1,1
XV,BERG,-15.58,47.6277,0,233,1,1
XV,BITY,-20.0608,47.0001,0,235,1,1
XV,BKTA,-24.1822,45.673,0,236,1,1
XV,CPSM,-25.5358,45.15,0,235,1,1
XV,DGOS,-12.2825,49.3606,0,256,1,1
XV,KIRI,-20.0676,44.6595,0,253,1,1
XV,LAHA,-14.9344,50.2911,0,261,1,1
XV,LONA,-22.8057,44.2959,0,260,1,1
XV,MAGY,-19.3179,48.9785,0,212,1,1
XV,MAHA,-23.1714,47.6899,0,257,1,1
XV,MAJA,-15.7323,46.4263,0,258,1,1
XV,MAPH,-22.25,35.08,1,432,1,1
XV,MARO,-20.1331,44.5515,0,125,1,1
XV,MKVA,-14.1368,50.0608,0,234,1,1
XV,MMBE,-21.7501,43.3721,0,259,1,1
XV,MOCU,-16.86,36.83,1,324,1,1
XV,MSGR,-23.83,32.18,1,420,1,1
XV,NAPU,-15.08,39.25,1,424,1,1
XV,SENA,-17.445,35.032,1,426,1,1
XV,SOLA,-15.8636,48.8263,0,113,1,1
XV,TANS,-18.9176,47.5511,0,221,1,1
XV,TETE,-16.13,33.57,1,325,1,1
XV,VATO,-19.3314,48.9824,0,126,1,1
XV,VINA,-18.1769,45.2247,0,230,1,1
XV,ZAKA,-17.8471,48.423,0,230,1,1
XV,ZOBE,-18.1369,47.2289,0,235,1,1
XW,ADBA,13.5508,44.8424,0,79,1,1
XW,ADEN,12.7759,44.9824,0,246,1,0
XW,ADUA,15.0021,48.9739,0,79,1,1
XW,ALJZ,18.6157,56.5389,0,103,1,1
XW,AMDT,1.9487,34.935799,1,133,2,1
XW,ANID,15.4736,43.2048,0,79,1,1
XW,ARUT,15.1641,51.0269,0,77,1,1
XW,BSRN,18.9663,55.9722,0,193,1,1
XW,DABI,15.1325,44.269,0,60,1,1
XW,DALA,13.7348,44.7358,0,44,1,1
XW,DAMT,14.0874,44.6823,0,79,1,1
XW,DEMT,17.727,55.0729,0,169,1,0
XW,DERU,16.8359,51.8344,0,79,1,1
XW,DKUM,13.2711,44.7574,0,77,1,1
XW,DRAK,19.0152,57.761,0,183,1,1
XW,DUQM,19.5588,57.609,0,187,1,1
XW,EYUN,14.7782,49.2677,0,79,1,1
XW,FASH,15.4413,50.9481,0,77,1,1
XW,GASH,18.4324,56.108,0,168,1,1
XW,GBRA,19.092,56.5529,0,195,1,1
XW,GEAN,16.7066,49.5177,0,79,1,1
XW,GHAD,16.2459,52.2053,0,71,1,1
XW,GHDI,15.6381,52.1617,0,76,1,1
XW,GULU,2.8778,32.2848,1,134,1,1
XW,HAHY,15.2083,49.0887,0,79,1,1
XW,HAS3,17.489,55.218,0,163,1,0
XW,HATT,17.3161,52.1067,0,79,1,1
XW,HBAB,19.4432,56.7219,0,190,1,1
XW,HN01,17.9613,55.921,0,188,1,1
XW,HOTA,13.0639,44.8757,0,69,1,1
XW,KABG,3.5104,34.143299,1,131,2,1
XW,KARE,17.1566,51.9259,0,79,1,1
XW,KHAW,13.808,43.2541,0,79,1,1
XW,KHLA,13.7969,44.808,0,44,1,1
XW,KITG,3.292,32.879799,1,134,2,1
XW,KOTD,3.0002,34.110401,1,133,2,1
XW,KRWN,19.2702,57.2081,0,190,1,1
XW,KUMI,1.4769,33.864799,1,133,2,1
XW,LANG,2.7402,33.563702,1,82,0,1
XW,LIRA,2.1096,33.064301,1,135,2,1
XW,LUSA,16.4862,52.5672,0,79,1,1
XW,MADQ,16.2068,51.3972,0,208,1,0
XW,MAWI,15.4675,43.5232,0,79,1,1
XW,MIRB,16.9859,54.6973,0,169,1,0
XW,MKRZ,19.2578,57.5968,0,191,1,1
XW,MKZA,19.3696,56.3479,0,164,1,1
XW,MOKA,13.3137,43.2563,0,79,1,1
XW,MUKA,14.4872,49.0378,0,79,1,1
XW,NAPK,2.3692,34.377499,1,130,2,1
XW,NIMR,18.5414,55.8377,0,195,1,1
XW,OMRN,18.4446,55.3031,0,156,1,1
XW,QISH,15.5136,51.6861,0,79,1,1
XW,RIMA,18.8311,56.3232,0,168,1,1
XW,RUSA,14.7074,44.3539,0,79,1,1
XW,SAAH,15.5676,48.8558,0,77,1,1
XW,SABA,18.7557,56.64,0,194,1,1
XW,SADA,19.5008,57.465,0,190,1,1
XW,SAHL,18.9019,57.0402,0,192,1,1
XW,SANA,15.3926,44.2068,0,138,1,0
XW,SAUM,16.1415,49.2933,0,79,1,1
XW,SAWQ,18.1618,56.4314,0,188,1,1
XW,SAYT,15.2184,51.2504,0,77,1,1
XW,SEYU,15.9292,48.801,0,79,1,1
XW,SHA2,18.1203,55.7407,0,188,1,1
XW,SHIB,15.503,43.9055,0,79,1,1
XW,SHUH,15.6145,50.923,0,77,1,1
XW,SIMA,17.5555,52.3163,0,79,1,1
XW,SUGH,14.7971,43.4428,0,79,1,1
XW,SUYR,19.5607,57.6904,0,187,1,1
XW,TABU,15.9322,52.1383,0,79,1,1
XW,TAMR,15.7806,48.9521,0,71,1,1
XW,TAMU,17.2948,49.9286,0,79,1,1
XW,TARI,16.0478,48.9776,0,79,1,1
XW,TAWI,15.4787,43.7239,0,74,1,1
XW,TINA,16.5261,52.0823,0,79,1,1
XW,UAYA,15.7093,42.6934,0,77,1,1
XW,WAYM,17.9153,55.6437,0,183,1,1
XW,YSLE,14.9387,44.2816,0,79,1,1
XW,ZUWA,15.7275,43.0218,0,79,1,1
XZ,S01,17.027,54.113,0,17,1,1
XZ,S02,17.126,53.996,0,17,1,1
XZ,S03,17.25,54.084,0,17,1,1
XZ,S04,17.444,54.042,0,16,1,1
XZ,S05,17.354,53.968,0,14,1,1
XZ,S06,17.621,54.051,0,17,1,1
XZ,S07,17.255,54.488,0,17,1,1
XZ,S08,17.113,54.523,0,14,1,1
XZ,S09,16.986,54.697,0,17,1,1
XZ,S10,17.503,54.204,0,17,1,1
XZ,S11,16.823,53.47,0,14,1,1
Y6,ADEP,7.77344,38.883831,1,105,2,1
Y6,AJEE,7.25954,38.302601,1,93,2,1
Y6,ANOL,8.18231,39.180901,1,119,2,1
Y6,ASSE,7.93739,39.128651,1,121,2,1
Y6,BEKO,7.54153,39.259369,1,129,2,1
Y6,BESH,7.89624,38.928089,1,122,2,1
Y6,BETI,7.19412,38.41172,1,126,2,1
Y6,BRRR,7.19894,38.476089,1,126,2,1
Y6,CHEF,7.14898,38.43211,1,126,2,1
Y6,CHKA,8.25696,39.220718,1,109,2,1
Y6,CORB,7.22324,38.38504,1,126,2,1
Y6,DORE,7.03129,38.3615,1,111,2,1
Y6,FINH,6.9666,38.46207,1,111,2,1
Y6,GALU,7.80116,38.7672,1,91,2,1
Y6,GEBI,8.21852,39.106339,1,95,0,1
Y6,GOND,8.04166,39.194618,1,124,2,1
Y6,GRIM,7.16118,38.394749,1,125,2,1
Y6,GULA,7.84467,38.72617,1,126,2,1
Y6,HABU,7.73701,38.726318,1,131,2,1
Y6,HAWA,7.05183,38.501701,1,126,2,1
Y6,HURT,8.12121,39.12833,1,104,2,1
Y6,ITTE,8.12581,39.226139,1,128,2,1
Y6,JIMA,8.30641,38.998329,1,99,2,1
Y6,JIRE,8.24042,38.933029,1,106,2,1
Y6,KADO,7.29486,38.65477,1,122,2,1
Y6,MILA,7.12967,38.434429,1,102,2,1
Y6,ODAS,8.12327,38.964619,1,122,2,1
Y6,OGOL,8.04029,39.014141,1,122,2,1
Y6,OHIT,7.71629,38.757702,1,102,2,1
Y6,POWR,7.78835,38.793758,1,116,2,1
Y6,SAGU,7.76035,39.160759,1,123,2,1
Y6,SANK,7.19784,38.270828,1,111,2,1
Y6,SHAS,7.20504,38.602951,1,101,2,1
Y6,SPEC,7.15237,38.500992,1,126,2,1
Y6,TAKO,7.2485,38.474442,1,0,0,0
Y6,TATA,7.2604,38.443981,1,94,2,1
Y6,TULL,8.181,39.058,1,125,2,1
Y6,ULAR,8.1435,39.078,1,123,2,1
Y6,URJI,7.187,38.379,1,98,2,1
Y6,WOND,7.098,38.631,1,126,2,1
Y6,YIRG,6.744,38.39,1,103,2,1
YA,KV01,-2.078,29.351,1,316,0,1
YA,KV02,-1.937,29.458,1,0,0,0
YA,KV03,-1.903,29.347,1,349,0,1
YA,KV04,-1.457,29.526,1,350,0,1
YA,KV05,-1.674,29.264,1,349,2,1
YA,KV06,-1.678,29.411,1,189,2,1
YA,KV07,-1.558,29.365,1,349,2,1
YA,KV08,-1.593,29.45,1,349,2,1
YB,A1,29.4411,51.3067,0,0,1,0
YB,A2,29.7872,51.7822,0,0,1,0
YB,A22,29.789,51.782,0,0,1,0
YB,A3,29.3486,51.8608,0,0,1,0
YB,AT01,39.724,36.7109,0,238,1,1
YB,AT02,39.3806,37.0573,0,238,1,1
YB,AT03,39.0301,37.5955,0,215,1,1
YB,AT04,38.6278,38.1385,0,238,1,1
YB,AT05,38.2174,38.7937,0,234,1,1
YB,AT06,39.6731,35.6665,0,237,1,1
YB,AT07,39.1454,36.2223,0,236,1,1
YB,AT08,38.804,36.9266,0,238,1,1
YB,AT09,38.4019,37.5696,0,232,1,1
YB,AT10,38.0119,37.8609,0,168,1,1
YB,AT11,37.7579,38.3758,0,239,1,1
YB,AT12,39.4523,34.7451,0,237,1,1
YB,AT13,39.077,35.3153,0,237,1,1
YB,AT14,38.6277,36.0603,0,238,1,1
YB,AT15,38.3476,36.7763,0,238,1,1
YB,AT16,38.0842,37.136,0,238,1,1
YB,AT17,37.7466,37.52,0,239,1,1
YB,AT18,37.4427,37.9589,0,233,1,1
YB,AT19,39.7352,33.5811,0,238,1,1
YB,AT20,39.3639,34.1573,0,238,1,1
YB,AT21,38.9269,34.5246,0,238,1,1
YB,AT22,38.5906,34.9903,0,238,1,1
YB,AT23,38.3631,35.5496,0,237,1,1
YB,AT24,38.1646,35.9024,0,238,1,1
YB,AT25,37.9181,36.4592,0,185,1,1
YB,AT26,37.6299,36.7315,0,218,1,1
YB,AT27,37.4836,37.1963,0,166,1,1
YB,AT28,37.2527,37.5501,0,239,1,1
YB,AT29,39.179,33.3776,0,238,1,1
YB,AT30,38.764,34.0045,0,238,1,1
YB,AT31,38.5727,34.5084,0,239,1,1
YB,AT32,38.2967,34.889,0,238,1,1
YB,AT33,38.0292,35.1502,0,238,1,1
YB,AT34,37.9051,35.5147,0,238,1,1
YB,AT35,37.6727,35.8772,0,238,1,1
YB,AT37,37.2442,36.4915,0,217,1,1
YB,AT38,37.0361,36.808,0,240,1,1
YB,AT39,36.9321,37.2226,0,152,1,1
YB,AT40,38.8489,32.4513,0,239,1,1
YB,AT41,38.4684,33.2447,0,238,1,1
YB,AT42,38.2751,33.8726,0,238,1,1
YB,AT43,38.0579,34.3305,0,193,1,1
YB,AT44,37.8467,34.612,0,167,1,1
YB,AT45,37.6876,35.0198,0,238,1,1
YB,AT46,37.3027,35.5761,0,234,1,1
YB,AT47,36.9918,35.991,0,0,1,0
YB,AT48,36.6193,36.4138,0,238,1,1
YB,AT49,38.5137,32.253,0,239,1,1
YB,AT50,38.2999,32.8781,0,239,1,1
YB,AT51,38.0085,33.3797,0,238,1,1
YB,AT52,37.9145,33.8631,0,238,1,1
YB,AT53,37.5773,34.3336,0,238,1,1
YB,AT54,37.4756,34.8818,0,238,1,1
YB,AT55,37.0837,35.0873,0,237,1,1
YB,AT56,36.7019,35.5469,0,230,1,1
YB,AT57,37.8143,32.8774,0,239,1,1
YB,AT58,37.565,33.3254,0,235,1,1
YB,AT59,37.2833,33.8196,0,239,1,1
YB,AT60,37.0163,34.3637,0,239,1,1
YB,AT61,37.4495,32.3623,0,233,1,1
YB,AT62,37.103,33.0534,0,239,1,1
YB,AT63,36.7125,33.472,0,240,1,1
YB,AT64,36.6013,34.1213,0,237,1,1
YB,AT65,38.2207,34.9629,0,0,1,0
YB,AT66,37.4212,36.175,0,163,1,1
YB,AT67,36.9517,36.2478,0,152,1,1
YB,AT68,38.0245,37.8338,0,152,1,1
YB,AT69,37.4842,37.197,0,153,1,1
YB,AT70,37.9336,34.5432,0,152,1,1
YB,AT71,37.3779,34.2587,0,106,1,1
YB,AT7A,39.1455,36.221,0,0,1,0
YB,B1,29.8408,52.5775,0,0,1,0
YB,B2,30.1883,52.5039,0,0,1,0
YB,B3,30.1328,53.0561,0,0,1,0
YB,BB01,-28.306999,24.7542,1,0,0,0
YB,BB06,-28.452101,24.6241,1,0,0,0
YB,BB07,-28.4161,24.692301,1,0,0,0
YB,BB08,-28.428499,24.628799,1,0,0,0
YB,BB09,-28.4494,24.637699,1,0,0,0
YB,BB11,-28.466999,24.5471,1,0,0,0
YB,BB12,-28.528799,24.7108,1,0,0,0
YB,BB13,-28.5394,24.7355,1,0,0,0
YB,BB14,-28.5404,24.6768,1,0,0,0
YB,BB16,-28.580099,24.539,1,0,0,0
YB,BB19,-28.601999,24.832399,1,0,0,0
YB,BB20,-28.6327,24.6847,1,0,0,0
YB,BB22,-28.6306,24.784401,1,0,0,0
YB,BB23,-28.6453,24.823799,1,0,0,0
YB,BB24,-28.6427,24.632299,1,0,0,0
YB,BB26,-28.671801,24.968,1,0,0,0
YB,BB27,-28.674299,24.5217,1,0,0,0
YB,BB28,-28.694599,24.5613,1,0,0,0
YB,BB29,-28.7047,24.843599,1,0,0,0
YB,BB30,-28.796301,24.866199,1,0,0,0
YB,BB31,-28.793699,24.9256,1,0,0,0
YB,BB32,-28.8146,24.9778,1,77,1,1
YB,C2,32.1487,53.8061,0,0,1,0
YB,D1,32.0394,54.5054,0,0,1,0
YB,D2,32.4341,54.7063,0,0,1,0
YB,D3,32.4066,54.0931,0,0,1,0
YB,M1,29.0494,51.3189,0,0,1,0
YB,M2,29.7131,52.2296,0,0,1,0
YB,M3,30.2519,53.2461,0,0,1,0
YB,M5,31.0498,52.8536,0,0,1,0
YB,M6,31.5761,53.8114,0,0,1,0
YB,M7,32.599,55.1952,0,0,1,0
YB,M8,32.9657,55.4836,0,0,1,0
YD,ACII,39.359,16.2268,0,19,1,1
YD,ALDC,39.959,16.3813,0,17,1,1
YD,BRCA,39.5164,16.5127,0,18,1,1
YD,CIVI,39.8283,16.315,0,16,1,1
