Network,Station,Latitude,Longitude,In_africa
XK,W05SA,0,0,0
XK,W05SL,-13.7627,34.3834,1
XK,W06SB,-13.7421,34.5959,1
XK,W07CR,-10.6838,34.1931,1
XK,W08KB,-11.61,34.2964,1
XK,W09TK,-12.1085,34.0464,1
XK,W10LW,-12.6208,34.1652,1
XK,W11KP,-13.2166,34.3113,1
XK,W12MB,-14.0852,34.9112,1
XK,W13CC,-14.548,35.1806,1
XK,W14MC,-15.0626,35.2259,1
XK,W15SS,-15.6818,34.9747,1
XK,Z01TG,-12.296,29.9948,1
XK,Z02PP,-12.6965,30.1358,1
XK,Z03CK,-12.939,30.4424,1
XK,Z04NN,-13.075,30.6276,1
XK,Z05CS,-13.1667,30.8784,1
XK,Z06GL,-13.3502,31.5149,1
XK,Z06LW,-13.3218,31.0287,1
XK,Z07FW,-13.1206,31.7754,1
XK,Z08MF,-13.2546,31.9314,1
XK,Z09CG,-13.3058,32.221,1
XK,Z10KW,-13.4991,32.3828,1
XK,Z11CP,-13.5636,32.5889,1
XS,N001,39.4692,20.3119,0
XS,N002,39.5405,20.3584,0
XS,N003,39.577,20.4251,0
XS,N004,39.6125,20.4861,0
XS,N005,39.6386,20.5694,0
XS,N006,39.6778,20.6118,0
XS,N007,39.708,20.6675,0
XS,N008,39.7319,20.7507,0
XS,N009,39.7883,20.8775,0
XS,N010,39.8647,20.9678,0
XS,N011,39.9379,21.0496,0
XS,N012,39.9466,21.2458,0
XS,N013,39.9462,21.4035,0
XS,N017,39.9486,21.6771,0
XS,N026,39.7281,22.6698,0
XS,N027,39.4883,22.9574,0
XS,N111,39.8519,21.2265,0
XS,N211,39.849,21.2232,0
XS,S001,37.283,21.718,0
XS,S002,37.306,21.782,0
XS,S003,37.321,21.808,0
XS,S004,37.361,21.864,0
XS,S005,37.4,21.919,0
XS,S006,37.442,22.004,0
XS,S007,37.454,22.055,0
XS,S008,37.495,22.142,0
XS,S009,37.548,22.212,0
XS,S010,37.629,22.295,0
XS,S011,37.606,22.47,0
XS,S012,37.786,22.434,0
XS,S013,37.806,22.593,0
XS,S014,37.783,22.868,0
XS,S015,37.972,22.618,0
XS,S016,37.805,23.064,0
XS,S017,37.954,23.012,0
XS,S018,38.015,23.224,0
XS,S019,38.259,23.065,0
XS,S020,38.318,22.91,0
XS,S021,38.361,23.089,0
XS,S022,38.174,23.37,0
XS,S023,38.105,23.592,0
XS,S024,38.362,23.447,0
XS,S025,38.566,23.213,0
XS,S026,38.391,23.559,0
XS,S027,38.237,23.666,0
XS,S028,38.047,23.864,0
XS,S029,38.075,24.366,0
XS,S030,38.395,24.145,0
XS,S031,38.426,23.899,0
XS,S032,38.591,23.758,0
XS,S033,38.723,23.491,0
XS,S034,38.881,23.05,0
XS,S035,38.661,24.108,0
XS,S036,38.047,23.864,0
XS,S037,38.921,24.53,0
XS,S038,37.836,24.948,0
XS,S039,37.457,24.949,0
XS,S040,37.722,24.009,0
XS,S041,38.047,23.864,0
XS,S042,38.047,23.864,0
XS,S104,37.366,21.859,0
XS,S126,38.46,23.497,0
XS,S129,38.089,24.362,0
XV,AMPY,-24.7033,44.7436,0
XV,ANLA,-17.7062,49.4599,0
XV,ANTS,-14.8843,47.9993,0
XV,BAEL,-14.5397,48.7467,0
XV,BAND,-20.3428,45.5964,0
XV,BANJ,-13.6426,48.4537,0
XV,BARY,-17.1845,46.8571,0
XV,BATG,-18.8786,46.1871,0
XV,BERG,-15.58,47.6277,0
XV,BITY,-20.0608,47.0001,0
XV,BKTA,-24.1822,45.673,0
XV,CPSM,-25.5358,45.15,0
XV,DGOS,-12.2825,49.3606,0
XV,KIRI,-20.0676,44.6595,0
XV,LAHA,-14.9344,50.2911,0
XV,LONA,-22.8057,44.2959,0
XV,MAGY,-19.3179,48.9785,0
XV,MAHA,-23.1714,47.6899,0
XV,MAJA,-15.7323,46.4263,0
XV,MAPH,-22.25,35.08,1
XV,MARO,-20.1331,44.5515,0
XV,MKVA,-14.1368,50.0608,0
XV,MMBE,-21.7501,43.3721,0
XV,MOCU,-16.86,36.83,1
XV,MSGR,-23.83,32.18,1
XV,NAPU,-15.08,39.25,1
XV,SENA,-17.445,35.032,1
XV,SOLA,-15.8636,48.8263,0
XV,TANS,-18.9176,47.5511,0
XV,TETE,-16.13,33.57,1
XV,VATO,-19.3314,48.9824,0
XV,VINA,-18.1769,45.2247,0
XV,ZAKA,-17.8471,48.423,0
XV,ZOBE,-18.1369,47.2289,0
XW,ADBA,13.5508,44.8424,0
XW,ADEN,12.7759,44.9824,0
XW,ADUA,15.0021,48.9739,0
XW,ALJZ,18.6157,56.5389,0
XW,AMDT,1.9487,34.935799,1
XW,ANID,15.4736,43.2048,0
XW,ARUT,15.1641,51.0269,0
XW,BSRN,18.9663,55.9722,0
XW,DABI,15.1325,44.269,0
XW,DALA,13.7348,44.7358,0
XW,DAMT,14.0874,44.6823,0
XW,DEMT,17.727,55.0729,0
XW,DERU,16.8359,51.8344,0
XW,DKUM,13.2711,44.7574,0
XW,DRAK,19.0152,57.761,0
XW,DUQM,19.5588,57.609,0
XW,EYUN,14.7782,49.2677,0
XW,FASH,15.4413,50.9481,0
XW,GASH,18.4324,56.108,0
XW,GBRA,19.092,56.5529,0
XW,GEAN,16.7066,49.5177,0
XW,GHAD,16.2459,52.2053,0
XW,GHDI,15.6381,52.1617,0
XW,GULU,2.8778,32.2848,1
XW,HAHY,15.2083,49.0887,0
XW,HAS3,17.489,55.218,0
XW,HATT,17.3161,52.1067,0
XW,HBAB,19.4432,56.7219,0
XW,HN01,17.9613,55.921,0
XW,HOTA,13.0639,44.8757,0
XW,KABG,3.5104,34.143299,1
XW,KARE,17.1566,51.9259,0
XW,KHAW,13.808,43.2541,0
XW,KHLA,13.7969,44.808,0
XW,KITG,3.292,32.879799,1
XW,KOTD,3.0002,34.110401,1
XW,KRWN,19.2702,57.2081,0
XW,KUMI,1.4769,33.864799,1
XW,LANG,2.7402,33.563702,1
XW,LIRA,2.1096,33.064301,1
XW,LUSA,16.4862,52.5672,0
XW,MADQ,16.2068,51.3972,0
XW,MAWI,15.4675,43.5232,0
XW,MIRB,16.9859,54.6973,0
XW,MKRZ,19.2578,57.5968,0
XW,MKZA,19.3696,56.3479,0
XW,MOKA,13.3137,43.2563,0
XW,MUKA,14.4872,49.0378,0
XW,NAPK,2.3692,34.377499,1
XW,NIMR,18.5414,55.8377,0
XW,OMRN,18.4446,55.3031,0
XW,QISH,15.5136,51.6861,0
XW,RIMA,18.8311,56.3232,0
XW,RUSA,14.7074,44.3539,0
XW,SAAH,15.5676,48.8558,0
XW,SABA,18.7557,56.64,0
XW,SADA,19.5008,57.465,0
XW,SAHL,18.9019,57.0402,0
XW,SANA,15.3926,44.2068,0
XW,SAUM,16.1415,49.2933,0
XW,SAWQ,18.1618,56.4314,0
XW,SAYT,15.2184,51.2504,0
XW,SEYU,15.9292,48.801,0
XW,SHA2,18.1203,55.7407,0
XW,SHIB,15.503,43.9055,0
XW,SHUH,15.6145,50.923,0
XW,SIMA,17.5555,52.3163,0
XW,SUGH,14.7971,43.4428,0
XW,SUYR,19.5607,57.6904,0
XW,TABU,15.9322,52.1383,0
XW,TAMR,15.7806,48.9521,0
XW,TAMU,17.2948,49.9286,0
XW,TARI,16.0478,48.9776,0
XW,TAWI,15.4787,43.7239,0
XW,TINA,16.5261,52.0823,0
XW,UAYA,15.7093,42.6934,0
XW,WAYM,17.9153,55.6437,0
XW,YSLE,14.9387,44.2816,0
XW,ZUWA,15.7275,43.0218,0
XZ,S01,17.027,54.113,0
XZ,S02,17.126,53.996,0
XZ,S03,17.25,54.084,0
XZ,S04,17.444,54.042,0
XZ,S05,17.354,53.968,0
XZ,S06,17.621,54.051,0
XZ,S07,17.255,54.488,0
XZ,S08,17.113,54.523,0
XZ,S09,16.986,54.697,0
XZ,S10,17.503,54.204,0
XZ,S11,16.823,53.47,0
Y6,ADEP,7.77344,38.883831,1
Y6,AJEE,7.25954,38.302601,1
Y6,ANOL,8.18231,39.180901,1
Y6,ASSE,7.93739,39.128651,1
Y6,BEKO,7.54153,39.259369,1
Y6,BESH,7.89624,38.928089,1
Y6,BETI,7.19412,38.41172,1
Y6,BRRR,7.19894,38.476089,1
Y6,CHEF,7.14898,38.43211,1
Y6,CHKA,8.25696,39.220718,1
Y6,CORB,7.22324,38.38504,1
Y6,DORE,7.03129,38.3615,1
Y6,FINH,6.9666,38.46207,1
Y6,GALU,7.80116,38.7672,1
Y6,GEBI,8.21852,39.106339,1
Y6,GOND,8.04166,39.194618,1
Y6,GRIM,7.16118,38.394749,1
Y6,GULA,7.84467,38.72617,1
Y6,HABU,7.73701,38.726318,1
Y6,HAWA,7.05183,38.501701,1
Y6,HURT,8.12121,39.12833,1
Y6,ITTE,8.12581,39.226139,1
Y6,JIMA,8.30641,38.998329,1
Y6,JIRE,8.24042,38.933029,1
Y6,KADO,7.29486,38.65477,1
Y6,MILA,7.12967,38.434429,1
Y6,ODAS,8.12327,38.964619,1
Y6,OGOL,8.04029,39.014141,1
Y6,OHIT,7.71629,38.757702,1
Y6,POWR,7.78835,38.793758,1
Y6,SAGU,7.76035,39.160759,1
Y6,SANK,7.19784,38.270828,1
Y6,SHAS,7.20504,38.602951,1
Y6,SPEC,7.15237,38.500992,1
Y6,TAKO,7.2485,38.474442,1
Y6,TATA,7.2604,38.443981,1
Y6,TULL,8.181,39.058,1
Y6,ULAR,8.1435,39.078,1
Y6,URJI,7.187,38.379,1
Y6,WOND,7.098,38.631,1
Y6,YIRG,6.744,38.39,1
YA,KV01,-2.078,29.351,1
YA,KV02,-1.937,29.458,1
YA,KV03,-1.903,29.347,1
YA,KV04,-1.457,29.526,1
YA,KV05,-1.674,29.264,1
YA,KV06,-1.678,29.411,1
YA,KV07,-1.558,29.365,1
YA,KV08,-1.593,29.45,1
YB,A1,29.4411,51.3067,0
YB,A2,29.7872,51.7822,0
YB,A22,29.789,51.782,0
YB,A3,29.3486,51.8608,0
YB,AT01,39.724,36.7109,0
YB,AT02,39.3806,37.0573,0
YB,AT03,39.0301,37.5955,0
YB,AT04,38.6278,38.1385,0
YB,AT05,38.2174,38.7937,0
YB,AT06,39.6731,35.6665,0
YB,AT07,39.1454,36.2223,0
YB,AT08,38.804,36.9266,0
YB,AT09,38.4019,37.5696,0
YB,AT10,38.0119,37.8609,0
YB,AT11,37.7579,38.3758,0
YB,AT12,39.4523,34.7451,0
YB,AT13,39.077,35.3153,0
YB,AT14,38.6277,36.0603,0
YB,AT15,38.3476,36.7763,0
YB,AT16,38.0842,37.136,0
YB,AT17,37.7466,37.52,0
YB,AT18,37.4427,37.9589,0
YB,AT19,39.7352,33.5811,0
YB,AT20,39.3639,34.1573,0
YB,AT21,38.9269,34.5246,0
YB,AT22,38.5906,34.9903,0
YB,AT23,38.3631,35.5496,0
YB,AT24,38.1646,35.9024,0
YB,AT25,37.9181,36.4592,0
YB,AT26,37.6299,36.7315,0
YB,AT27,37.4836,37.1963,0
YB,AT28,37.2527,37.5501,0
YB,AT29,39.179,33.3776,0
YB,AT30,38.764,34.0045,0
YB,AT31,38.5727,34.5084,0
YB,AT32,38.2967,34.889,0
YB,AT33,38.0292,35.1502,0
YB,AT34,37.9051,35.5147,0
YB,AT35,37.6727,35.8772,0
YB,AT37,37.2442,36.4915,0
YB,AT38,37.0361,36.808,0
YB,AT39,36.9321,37.2226,0
YB,AT40,38.8489,32.4513,0
YB,AT41,38.4684,33.2447,0
YB,AT42,38.2751,33.8726,0
YB,AT43,38.0579,34.3305,0
YB,AT44,37.8467,34.612,0
YB,AT45,37.6876,35.0198,0
YB,AT46,37.3027,35.5761,0
YB,AT47,36.9918,35.991,0
YB,AT48,36.6193,36.4138,0
YB,AT49,38.5137,32.253,0
YB,AT50,38.2999,32.8781,0
YB,AT51,38.0085,33.3797,0
YB,AT52,37.9145,33.8631,0
YB,AT53,37.5773,34.3336,0
YB,AT54,37.4756,34.8818,0
YB,AT55,37.0837,35.0873,0
YB,AT56,36.7019,35.5469,0
YB,AT57,37.8143,32.8774,0
YB,AT58,37.565,33.3254,0
YB,AT59,37.2833,33.8196,0
YB,AT60,37.0163,34.3637,0
YB,AT61,37.4495,32.3623,0
YB,AT62,37.103,33.0534,0
YB,AT63,36.7125,33.472,0
YB,AT64,36.6013,34.1213,0
YB,AT65,38.2207,34.9629,0
YB,AT66,37.4212,36.175,0
YB,AT67,36.9517,36.2478,0
YB,AT68,38.0245,37.8338,0
YB,AT69,37.4842,37.197,0
YB,AT70,37.9336,34.5432,0
YB,AT71,37.3779,34.2587,0
YB,AT7A,39.1455,36.221,0
YB,B1,29.8408,52.5775,0
YB,B2,30.1883,52.5039,0
YB,B3,30.1328,53.0561,0
YB,BB01,-28.306999,24.7542,1
YB,BB06,-28.452101,24.6241,1
YB,BB07,-28.4161,24.692301,1
YB,BB08,-28.428499,24.628799,1
YB,BB09,-28.4494,24.637699,1
YB,BB11,-28.466999,24.5471,1
YB,BB12,-28.528799,24.7108,1
YB,BB13,-28.5394,24.7355,1
YB,BB14,-28.5404,24.6768,1
YB,BB16,-28.580099,24.539,1
YB,BB19,-28.601999,24.832399,1
YB,BB20,-28.6327,24.6847,1
YB,BB22,-28.6306,24.784401,1
YB,BB23,-28.6453,24.823799,1
YB,BB24,-28.6427,24.632299,1
YB,BB26,-28.671801,24.968,1
YB,BB27,-28.674299,24.5217,1
YB,BB28,-28.694599,24.5613,1
YB,BB29,-28.7047,24.843599,1
YB,BB30,-28.796301,24.866199,1
YB,BB31,-28.793699,24.9256,1
YB,BB32,-28.8146,24.9778,1
YB,C2,32.1487,53.8061,0
YB,D1,32.0394,54.5054,0
YB,D2,32.4341,54.7063,0
YB,D3,32.4066,54.0931,0
YB,M1,29.0494,51.3189,0
YB,M2,29.7131,52.2296,0
YB,M3,30.2519,53.2461,0
YB,M5,31.0498,52.8536,0
YB,M6,31.5761,53.8114,0
YB,M7,32.599,55.1952,0
YB,M8,32.9657,55.4836,0
YD,ACII,39.359,16.2268,0
YD,ALDC,39.959,16.3813,0
YD,BRCA,39.5164,16.5127,0
YD,CIVI,39.8283,16.315,0
YD,CO22,39.4926,16.3051,0
YD,GERM,39.3203,16.6674,0
YD,MMNN,39.8909,15.9904,0
YD,PIAN,38.9576,16.3968,0
YD,STEC,38.9426,16.9257,0
YF,ABSA,36.2765,7.4734,1
YF,APER,35.5504,27.1741,0
YF,CDLV,29.1631,-13.4439,1
YF,GHAR,32.1224,13.0885,1
YF,ITHO,37.1786,21.9252,0
YF,KOUM,37.7041,26.8377,0
YF,MARJ,32.5226,20.8776,1
YH,CHAL,-6.6403,38.367,1
YH,IFAK,-8.1397,36.6828,1
YH,INDI,-10.0167,39.7149,1
YH,KIMA,-8.9199,39.5141,1
YH,MANG,-7.1981,38.7733,1
YH,MOHO,-8.1426,39.1832,1
YH,MTWA,-10.2776,40.194,1
YH,WALE,-9.7896,37.917,1
YI,AAIR,-9.9546,33.8955,1
YI,SCH,-10.1757,34.0324,1
YJ,ADEE,7.7909,39.9068,1
YJ,ADUE,8.5403,38.9019,1
YJ,AMME,8.3031,39.0934,1
YJ,ANKE,9.5927,39.7339,1
YJ,AREE,8.9385,39.4188,1
YJ,ASEE,7.9729,39.1317,1
YJ,AWAE,8.9895,40.1659,1
YJ,BEDE,8.9086,40.771,1
YJ,BORE,8.7458,39.554,1
YJ,BUTE,8.117,38.3824,1
YJ,CHAE,9.3118,38.7624,1
YJ,DEBE,8.78027,38.995899,1
YJ,DIKE,8.0627,39.5566,1
YJ,DONE,8.509,39.5504,1
YJ,DZEE,8.7803,38.9959,1
YJ,GEWE,10.006,40.5743,1
YJ,GTFE,9.0034,39.8376,1
YJ,HIRE,9.2221,41.1059,1
YJ,INEE,9.8954,39.1431,1
YJ,KARE,10.4224,39.9349,1
YJ,KOTE,9.3875,39.3961,1
YJ,LEME,8.6115,38.6095,1
YJ,MECE,8.5938,40.3241,1
YJ,MEKE,8.1623,38.833,1
YJ,MELE,9.3106,40.2008,1
YJ,MIEE,9.2416,40.7581,1
YJ,NURE,8.7312,39.7956,1
YJ,SENE,9.1466,39.0166,1
YJ,SHEE,9.9996,39.8946,1
YJ,WOLE,8.53394,37.98222,1
YL,GOCE,39.743,34.348,0
YQ,BAKO,-8.8437,34.8016,1
YQ,BANG,-10.1128,35.6506,1
YQ,BUMI,-10.1277,34.9365,1
YQ,CHML,-8.8261,34.0283,1
YQ,CHUN,-8.5434,33.4337,1
YQ,CRTR,-9.3318,33.7513,1
YQ,GAWA,-8.7648,34.3864,1
YQ,IGOM,-9,33.6573,1
YQ,ILIN,-9.0818,33.3327,1
YQ,ILOM,-9.2829,33.3421,1
YQ,ISOK,-9.509,33.4944,1
YQ,ITUM,-9.4005,33.188,1
YQ,JILO,-8.7261,33.5663,1
YQ,KIDE,-9.2745,35.0214,1
YQ,KIFA,-9.5472,35.1026,1
YQ,KIMO,-10.6922,36.0463,1
YQ,KIPE,-9.2936,34.4364,1
YQ,KURU,-11.1996,35.4577,1
YQ,LIGA,-10.6835,35.2545,1
YQ,LOSI,-8.3872,33.1682,1
YQ,MAKE,-9.2647,34.0968,1
YQ,MAND,-10.4782,34.6005,1
YQ,MATA,-8.9593,33.9689,1
YQ,MBAM,-11.2484,34.7919,1
YQ,MBEY,-8.9996,33.2504,1
YQ,MBHS,-9.4309,33.9846,1
YQ,MFRI,-9.2944,35.3129,1
YQ,MKIL,-10.8807,34.6813,1
YQ,MUDI,-9.8621,34.9373,1
YQ,MZUN,-9.1502,33.5213,1
YQ,NGEA,-10.6754,35.6744,1
YQ,NIND,-10.1421,34.5792,1
YQ,NKAL,-9.1881,33.7736,1
YQ,TIRI,-10.7626,34.8831,1
YQ,TOLA,-9.5921,34.5841,1
YQ,UKWA,-9.4539,34.2158,1
YQ,UNDA,-9.8536,34.4738,1
YQ,UWEM,-9.4696,34.7859,1
YQ,WINO,-9.7576,35.3001,1
YQ,ZINI,-10.4659,35.3383,1
YR,ABAY,12.6046,54.3228,0
YR,ADHO,17.2421,54.2845,0
YR,ALE,9.4214,42.0347,1
YR,AYDO,16.9884,53.3599,0
YR,AYNO,17.2559,53.894,0
YR,BANO,17.6889,54.4384,0
YR,DAHO,17.5256,54.3511,0
YR,DMTO,17.7303,55.074,0
YR,DSS,11.118,39.6351,1
YR,GDR,12.559,37.454,1
YR,HADO,17.2229,55.1937,0
YR,HASO,17.4923,55.219,0
YR,HAYO,17.1835,53.3401,0
YR,MADO,17.1989,54.3812,0
YR,MDYO,17.4646,53.3583,0
YR,MUGO,16.9013,53.7742,0
YR,NNMO,17.3561,54.2534,0
YR,QALY,12.695,53.488,0
YR,RAHO,17.0565,53.807,0
YR,SAHO,17.1143,54.6795,0
YR,SAY,15.3548,44.1999,0
YR,SHIO,17.1891,54.1655,0
YR,SOOO,17.0773,54.8847,0
YR,TQHO,17.0634,54.4296,0
YR,YAF,13.8711,45.2497,0
YV,RUM1,-22.802,47.718,0
YV,RUM2,-22.137,48.002,0
YV,RUM3,-23.799,47.546,0
YV,RUM4,-24.277,47.316,0
YV,RUM5,-24.784,47.085,0
YV,EURO,-22.344,40.34,0
YV,JNOV,-17.054,42.713,0
YV,MAYO,-12.846,45.187,0
YV,GLOR,-11.582,47.29,0
YY,ABMD,11.832,35.583,1
YY,ASOS,10.9011,34.5644,1
YY,BAHI,11.56,37.384,1
YY,CASA,13.566,36.966,1
YY,CHGE,10.9614,36.5184,1
YY,CHRH,12.564,36.401,1
YY,DAQU,13.145,37.898,1
YY,DEBR,10.635,35.662,1
YY,DLMN,6.424,39.856,1
YY,GIDA,8.98,34.61,1
YY,GINR,7.13,40.715,1
YY,GOND,13,37.448,1
YY,GORE,8.15,35.533,1
YY,GUBA,11.271,35.289,1
YY,GUBL,11.179,36.005,1
YY,HARO,9.847,36.31,1
YY,HDBU,9.376,35.651,1
YY,JAWI,11.571,36.491,1
YY,KIRE,9.957,36.869,1
YY,MDBA,12.575,36.156,1
YY,MELA,12.396,35.96,1
YY,MEND,9.787,35.112,1
YY,MERT,10.876,38.266,1
YY,MGNA,12.786,36.404,1
YY,MUKA,12.064,36.374,1
YY,NEKE,9.089,36.524,1
YY,NGLE,5.332,39.574,1
YY,SERE,12.513,37.028,1
YY,SHAW,11.93,36.87,1
YY,SHER,10.594,34.786,1
YY,SILA,12.744,36.989,1
YY,TABO,11.855,38.019,1
YY,WADE,5.785,39.312,1
YZ,ABAE,13.3528,39.7627,1
YZ,AFDE,13.20733,40.85717,1
YZ,AWRE,12.06597,40.071541,1
YZ,BOOE,12.6753,40.5231,1
YZ,BOSE,12.6421,40.5243,1
YZ,BOVE,12.657,40.5212,1
YZ,SEME,11.7918,41.0034,1
YZ,SILE,12.4069,41.1879,1
YZ,TERE,12.4832,40.3144,1
ZE,AFME,13.204,40.8585,1
ZE,ALEE,12.4106,40.598202,1
ZE,AWEE,12.0673,40.0719,1
ZE,BARE,12.6443,40.3556,1
ZE,BERE,12.1707,41.1886,1
ZE,BREE,12.1704,41.1883,1
ZE,CHIE,11.5979,40.0188,1
ZE,DAME,11.6868,40.9625,1
ZE,DIGE,12.3279,40.2734,1
ZE,FINE,12.0681,40.316,1
ZE,HARE,11.6072,40.884,1
ZE,MEGE,11.4906,41.3381,1
ZE,MILE,11.4238,40.765,1
ZE,RODE,12.8415,40.9826,1
ZE,SEHE,12.0401,40.9769,1
ZE,SEME,11.7926,41.0044,1
ZE,SILE,12.407,41.1879,1
ZE,SULE,12.7351,41.139599,1
ZE,TRUE,12.4841,40.3161,1
ZF,ABAE,13.3535,39.7635,1
ZF,ADTE,11.1221,40.757,1
ZF,ADYE,13.635,38.9811,1
ZF,AFRE,-24.212,28.883,1
ZF,AKEE,10.8883,39.168,1
ZF,ASYE,11.5607,41.4422,1
ZF,AWSE,8.9897,40.17,1
ZF,BOBE,10.3798,42.5724,1
ZF,BTIE,11.1949,40.0218,1
ZF,DERE,11.1179,39.6353,1
ZF,DICE,11.9136,41.5737,1
ZF,ELLE,11.2579,40.3784,1
ZF,ERTE,13.4463,40.4969,1
ZF,GASE,11.6813,38.9211,1
ZF,GEWE,10.0045,40.5739,1
ZF,HALE,13.8422,40.0077,1
ZF,HYNE,9.3148,42.0962,1
ZF,KOBE,12.1506,39.6298,1
ZF,KORE,10.4265,39.9344,1
ZF,LALE,12.0258,39.0375,1
ZF,LYDE,12.0546,41.9257,1
ZF,MAYE,12.7832,39.5343,1
ZF,MISE,9.2369,40.7591,1
ZF,QATE,9.3753,41.4691,1
ZF,SEKE,12.6217,39.0334,1
ZF,SMEE,11.7926,41.0043,1
ZF,SMRE,13.1977,39.2111,1
ZF,SRDE,11.9579,41.31,1
ZF,WLDE,11.8243,39.5874,1
ZF,WUCE,11.5116,39.6064,1
ZF,YAYE,11.8608,37.9965,1
ZK,AD01,11.315,40.571,1
ZK,AD02,11.349,40.688,1
ZK,AD03,11.422,40.766,1
ZK,AD04,11.537,40.841,1
ZK,AD05,11.608,40.906,1
ZK,AD06,11.675,40.94,1
ZK,AD07,11.727,40.99,1
ZK,AD08,11.776,41.029,1
ZK,AD09,11.817,41.05,1
ZK,AD10,11.9,41.137,1
ZK,AD11,11.742,41.296,1
ZK,AD13,11.958,41.31,1
ZK,AD14,11.939,41.455,1
ZK,AD15,11.88,41.707,1
ZK,AD16,11.82,41.753,1
ZK,AD17,11.742,41.837,1
ZK,AD18,11.908,41.791,1
ZK,AD19,12.055,41.926,1
ZP,BEND,0.581,31.392,1
ZP,BIHA,-2.638,31.316,1
ZP,BKBA,-1.364,31.812,1
ZP,BUTI,1.819,31.326,1
ZP,CHAM,-10.9505,31.0691,1
ZP,CHIM,-8.8263,34.0284,1
ZP,FOPO,0.663,30.282,1
ZP,GABZ,-12.171,26.367,1
ZP,GEIT,-2.881,32.217,1
ZP,HAMA,-3.832,32.642,1
ZP,IRIN,-7.762,35.6864,1
ZP,ISOK,-10.1708,32.6457,1
ZP,JNJA,0.446,33.182,1
ZP,KAMZ,-14.7948,24.8044,1
ZP,KASM,-10.2174,31.1401,1
ZP,KATE,-0.138,29.871,1
ZP,KBLE,-1.254,29.992,1
ZP,KGMA,-4.878,29.633,1
ZP,KIBO,-3.583,30.713,1
ZP,KISH,-12.0219,29.6123,1
ZP,KISZ,-12.1116,25.4952,1
ZP,KMPZ,-13.4568,25.8337,1
ZP,KYLA,-9.5986,33.8673,1
ZP,LAEL,-8.566,32.0591,1
ZP,LOSS,-8.4166,33.1575,1
ZP,LWNG,-10.2498,29.921,1
ZP,MAFI,-8.3057,35.3132,1
ZP,MAKA,-8.8465,34.8302,1
ZP,MALE,1.07,34.167,1
ZP,MANS,-11.14,28.8749,1
ZP,MAUS,-2.741,36.704,1
ZP,MGOR,-6.8279,37.6696,1
ZP,MIKU,-7.4035,36.9902,1
ZP,MKRE,-4.282,30.424,1
ZP,MKUS,-13.6035,29.3791,1
ZP,MLBA,-1.838,31.67,1
ZP,MPIK,-11.821,31.4517,1
ZP,MUFZ,-13.1442,25.0213,1
ZP,MWEN,-10.0582,28.7017,1
ZP,NAMA,-7.5094,31.0414,1
ZP,NJOM,-9.3665,34.7911,1
ZP,PIGI,0.231,32.319,1
ZP,PNDA,-6.3519,31.0613,1
ZP,ROTI,1.626,33.6,1
ZP,SAKA,-0.315,31.737,1
ZP,SERJ,-13.2275,30.215,1
ZP,SHWG,-11.1925,31.7397,1
ZP,SONG,-10.6738,35.6507,1
ZP,SULU,-4.573,30.087,1
ZP,SUMB,-7.9531,31.6195,1
ZP,TUND,-9.2958,32.7712,1
ZP,UVZA,-5.1049,30.3934,1
ZP,WINO,-9.7576,35.3001,1
ZS,AICH,-3.686,35.538,1
ZS,ARSH,-3.386,36.721,1
ZS,BASH,-4.004,35.3511,1
ZS,BUKU,-3.90117,34.5209,1
ZS,COFF,-3.39481,36.8746,1
ZS,ENDA,-3.37611,35.337,1
ZS,ESIL,-3.446,35.975,1
ZS,GIDA,-3.737,35.064,1
ZS,GLAI,-2.72133,36.1129,1
ZS,GLUM,-2.62114,36.1814,1
ZS,KRTU,-3.356,35.396,1
ZS,KWSI,-3.473,36.205,1
ZS,LESI,-3.38,36.487,1
ZS,LGDO,-2.725,36.698,1
ZS,OLKO,-3.345,37.104,1
ZS,LWON,-2.743,36.036,1
ZS,MAGA,-3.81,35.691,1
ZS,MALJ,-3.191,35.471,1
ZS,MANG,-3.493,35.393,1
ZS,MANY,-3.396,35.812,1
ZS,MARN,-3.627,35.273,1
ZS,MBUL,-3.878,35.514,1
ZS,MGWE,-3.91,37.789,1
ZS,MINJ,-3.728,35.908,1
ZS,MKAO,-3.408,34.741,1
ZS,MLLA,-3.231,36.861,1
ZS,MONG,-3.911,35.254,1
ZS,MOSH,-3.305,37.329,1
ZS,MWAB,-3.839,34.644,1
ZS,NAIT,-3.603,36.083,1
ZS,NGRE,-3.033,36.866,1
ZS,NOON,-2.993,36.292,1
ZS,OSIN,-3.368,35.038,1
ZS,SELE,-3.217,35.95,1
ZS,SIMA,-3.562,37.026,1
ZS,SOPA,-3.154,35.76,1
ZS,TREE,-3.97,35.747,1
ZT,CRAIL,-22.80259,28.24304,1
ZT,DULL,-25.36478,30.17588,1
ZT,HOED,-24.41274,30.93244,1
ZT,KEIT,-23.399585,28.875164,1
ZT,LESE,-24.4152,29.7445,1
ZT,MARA,-24.415186,29.744509,1
ZT,MARK,-24.461632,27.575478,1
ZT,MPHEP,-23.589013,28.391223,1
ZT,MRCO,-22.906549,30.174919,1
ZT,MTLB,-25.47234,26.400268,1
ZT,NHAM,-23.81433,27.05694,1
ZT,NYAT,-24.91566,27.31703,1
ZT,NYLS,-25.36745,27.5669,1
ZT,PUMBA,-24.659246,28.703229,1
ZT,RUST,-23.700916,29.527368,1
