Network,Station,Latitude,Longitude,In_africa
AF,KUKU,6.1923,-0.3684,1
AF,LBB,-11.631,27.485,1
AF,MBEY,-9,33.25,1
AF,MONG,-15.15,23.09,1
AF,MOPA,-23.517,31.398,1
AF,MSNA,-22.449,30.024,1
AF,MTVE,-10.25,40.167,1
AF,MZM,-11.434,34.035,1
AF,NBI,-1.2739,36.8037,1
AF,NSU,6.86685,7.41742,1
AF,PKA,-29.67,22.757,1
AF,POGA,-27.346,31.707,1
AF,PWET,-8.28,28.53,1
AF,RUDU,-17.909599,19.764799,1
AF,SEK,-28.323,27.625,1
AF,SHAI,5.8814,0.0439,1
AF,SKRH,-22.827,44.733,0
AF,SNKL,-28.27528,27.7714,1
AF,SOE,-32.712,25.562,1
AF,SWZ,-27.182,25.332,1
AF,TEBE,0.0536,32.483,1
AF,TETE,-16.1467,33.5768,1
AF,TEZI,-15.747,26.016,1
AF,UPI,-28.362,21.253,1
AF,WDLM,-26.424,27.422,1
AF,WIN,-22.5667,17.1,1
AF,YNDE,3.87,11.456,1
AF,ZOMB,-15.3833,35.35,1
BX,BROLN,-21.09967,27.33424,1
BX,CKGRV,-21.403549,23.771767,1
BX,GMARE,-19.389299,22.162458,1
BX,GRTLG,-21.36191,21.215712,1
BX,KDWAN,-23.38039,24.660793,1
BX,KGCAE,-22.853821,22.206787,1
BX,KHWEE,-21.9464,25.446911,1
BX,KOOLE,-22.993059,20.195551,1
BX,KSANE,-17.800171,25.161894,1
BX,LKGWB,-24.11351,21.782303,1
BX,LPHEP,-23.363029,25.859613,1
BX,MAKGR,-25.81185,24.800846,1
BX,MREMI,-22.56967,27.446815,1
BX,PHDHD,-20.195681,24.537193,1
BX,PHPEN,-25.475531,22.857294,1
BX,QNGWA,-19.52956,21.174,1
BX,SKOMA,-24.515341,23.932789,1
BX,SOOWA,-20.562851,26.21785,1
BX,XAUDM,-18.53956,21.338223,1
DW,TOL,39.8814,-4.0485,0
ES,EOSO,28.072,-15.553,1
G,ATD,11.53,42.847,1
G,EVO,38.532,-8.013,0
G,FOMA,-24.9757,46.9789,0
G,MBO,14.392,-16.9555,1
G,RER,-21.1712,55.7399,0
G,TAM,22.7915,5.5284,1
GE,APE,34.9777,24.8859,0
GE,APEZ,34.9777,24.8859,0
GE,BGIO,31.7219,35.0877,0
GE,CART,37.5868,-1.0012,0
GE,CSS,34.9611,33.331,0
GE,DAMY,14.5725,44.3917,0
GE,EIL,29.6699,34.9512,0
GE,FODE,35.3797,24.9576,0
GE,GHAR,32.1224,13.0885,1
GE,GVD,34.8392,24.0873,0
GE,ISP,37.8433,30.5093,0
GE,JER,31.7719,35.1972,0
GE,KMBO,-1.1268,37.2523,1
GE,KSDI,33.192,35.659,0
GE,LAST,35.1611,25.4786,0
GE,MAHO,39.8959,4.2665,0
GE,MALT,38.3134,38.4273,0
GE,MELI,35.2899,-2.9392,1
GE,MRNI,33.1178,35.392,0
GE,NAI,-1.2739,36.8037,1
GE,SANT,36.371,25.459,0
GE,SELV,37.2383,-3.7277,0
GE,SFS,36.4656,-6.2055,0
GE,SFUC,36.637,-6.175,0
GE,SKD,35.412,23.928,0
GE,SOCY,12.187,53.9874,0
GE,ZKR,35.1147,26.217,0
GT,BGCA,5.1764,18.4242,1
GT,BOSA,-28.6141,25.2555,1
GT,DBIC,6.6702,-4.8566,1
GT,LBTB,-25.0151,25.5966,1
GY,A22,37.9293,58.1125,0
GY,AH,37.9293,58.1125,0
GY,B32,37.9293,58.1125,0
GY,BH,37.9293,58.1125,0
GY,C22,37.9293,58.1125,0
GY,CH,37.9293,58.1125,0
GY,D32,37.9293,58.1125,0
GY,DH,37.9293,58.1125,0
GY,E22,37.9293,58.1125,0
GY,EH,37.9293,58.1125,0
GY,F32,37.9293,58.1125,0
GY,FH,37.9293,58.1125,0
GY,G22,37.9293,58.1125,0
GY,GH,37.9293,58.1125,0
GY,H32,37.9293,58.1125,0
GY,HH,37.9293,58.1125,0
GY,NH,37.9293,58.1125,0
GY,ORGH,37.9293,58.1125,0
GY,ORH,37.9293,58.1125,0
GY,SEH,37.9293,58.1125,0
GY,SWH,37.9293,58.1125,0
HL,ARG,36.2136,28.1212,0
HL,ITM,37.1787,21.9252,0
HL,KEK,39.7127,19.7962,0
II,ABKT,37.9304,58.1189,0
II,ABPO,-19.018,47.229,0
II,ASCN,-7.9327,-14.3601,0
II,MBAR,-0.6019,30.7382,1
II,MSEY,-4.6737,55.4792,0
II,RAYN,23.5225,45.5032,0
II,SACV,14.97,-23.609,1
II,SUR,-32.3797,20.8117,1
IP,MTOR,28.4948,-9.8487,1
IU,AAE,9.0292,38.7656,1
IU,ANTO,39.868,32.7934,0
IU,FURI,8.8952,38.6798,1
IU,KMBO,-1.1271,37.2525,1
IU,KOWA,14.4967,-4.014,1
IU,LSZ,-15.2779,28.1882,1
IU,MACI,28.2502,-16.5082,0
IU,MSKU,-1.6557,13.6116,1
IU,NAI,-1.2739,36.8037,1
IU,PAB,39.5446,-4.3499,0
IU,TBT,28.6794,-17.9145,0
IU,TOL,39.8814,-4.0485,0
IU,TSUM,-19.2022,17.5838,1
KO,BALB,39.64,27.88,0
KO,BNN,38.8522,35.8472,0
KO,DKL,39.0713,26.9053,0
KO,ELL,36.7483,29.9085,0
KO,GAZ,37.1722,37.2097,0
KO,GURO,38.5509,42.0322,0
KO,SIRT,37.501,42.4392,0
KW,MIB,29.8032,47.3388,0
LX,GGNV,38.7185,-9.1505,0
LX,MESJ,37.8395,-8.2199,0
LX,MORF,37.3043,-8.6527,0
MN,AIO,37.9712,15.233,0
MN,CEL,38.2603,15.8939,0
MN,CLTB,37.578,13.216,0
MN,CUC,39.993,15.815,0
MN,GFA,34.338,9.073,1
MN,IDI,35.288,24.89,0
MN,KEG,29.9275,31.8292,1
MN,MDT,32.817,-4.614,1
MN,MEB,36.303,2.73,1
MN,RTC,33.9881,-6.8569,1
MN,TIP,39.1794,16.7583,0
MN,VAE,37.469,14.3533,0
MN,VSL,39.496,9.378,0
MN,WDD,35.8373,14.5242,0
NJ,AWK,6.243,7.112,1
NJ,IFE,7.55,4.547,1
NJ,KAD,10.435,7.6414,1
NJ,NSU,6.867,7.417,1
NJ,TORO,10.986,8.118,1
NR,NE201,-24.515341,23.932789,1
NR,NE202,-24.11351,21.782303,1
NR,NE203,-22.993059,20.195551,1
NR,NE204,-18.53956,21.338223,1
NR,NE205,-18.62088,23.500484,1
NR,NE206,-17.800171,25.161894,1
NR,NE207,-19.52956,21.174,1
NR,NE208,-21.9464,25.446911,1
NR,NE209,-21.403549,23.771767,1
NR,NE210,-21.36191,21.215712,1
NR,NE211,-22.853821,22.206787,1
NR,NE212,-23.38039,24.660793,1
NR,NE213,-25.475531,22.857294,1
NR,NE214,-19.389299,22.162458,1
NR,NE215,-18.78417,25.196014,1
NR,NE216,-20.195681,24.537193,1
NR,NE217,-21.09967,27.33424,1
NR,NE218,-20.562851,26.21785,1
NR,NE219,-22.56967,27.446815,1
NR,NE220,-23.363029,25.859613,1
NR,NE221,-25.81185,24.800846,1
PM,PESTR,38.8672,-7.5902,0
PM,PFVI,37.1328,-8.8268,0
PM,PMOZ,32.823,-17.1972,0
PM,PVAQ,37.4037,-7.7173,0
